Year,Award,Player/Coach,Team
2018,Legend of the Game,40,13
2018,Coach of the Year,140,28
2018,Player of the Year,123,1
2018,Front Office Bowl MVP,40,13
2018,Offensive Player of the Year,1240,26
2018,Defensive Player of the Year,348,26
2018,Offensive Rookie of the Year,3216,14
2018,Defensive Rookie of the Year,3846,24
2018,All-League First Team Quarterback,1240,26
2018,All-League First Team Running Back,1615,13
2018,All-League First Team Fullback,1433,23
2018,All-League First Team Tight End,352,15
2018,All-League First Team Wide Receiver,1648,26
2018,All-League First Team Wide Receiver,1392,18
2018,All-League First Team Center,719,24
2018,All-League First Team Offensive Guard,126,5
2018,All-League First Team Offensive Guard,927,26
2018,All-League First Team Offensive Tackle,809,28
2018,All-League First Team Offensive Tackle,819,1
2018,All-League First Team Punter,3610,21
2018,All-League First Team Kicker,1487,13
2018,All-League First Team Defensive End,814,20
2018,All-League First Team Defensive End,1010,15
2018,All-League First Team Defensive Tackle,401,21
2018,All-League First Team Defensive Tackle,1373,31
2018,All-League First Team Inside Linebacker,1023,15
2018,All-League First Team Outside Linebacker,348,26
2018,All-League First Team Outside Linebacker,705,8
2018,All-League First Team Cornerback,1127,15
2018,All-League First Team Cornerback,1653,17
2018,All-League First Team Safety,606,0
2018,All-League First Team Safety,715,23
2018,All-League Second Team Quarterback,123,1
2018,All-League Second Team Running Back,786,25
2018,All-League Second Team Fullback,976,28
2018,All-League Second Team Tight End,561,21
2018,All-League Second Team Wide Receiver,630,29
2018,All-League Second Team Wide Receiver,767,1
2018,All-League Second Team Center,565,7
2018,All-League Second Team Offensive Guard,1239,9
2018,All-League Second Team Offensive Guard,829,11
2018,All-League Second Team Offensive Tackle,1062,6
2018,All-League Second Team Offensive Tackle,57,20
2018,All-League Second Team Punter,2775,4
2018,All-League Second Team Kicker,922,22
2018,All-League Second Team Defensive End,1349,12
2018,All-League Second Team Defensive End,371,31
2018,All-League Second Team Defensive Tackle,243,27
2018,All-League Second Team Defensive Tackle,1430,3
2018,All-League Second Team Inside Linebacker,898,28
2018,All-League Second Team Outside Linebacker,448,0
2018,All-League Second Team Outside Linebacker,327,29
2018,All-League Second Team Cornerback,3906,10
2018,All-League Second Team Cornerback,1075,13
2018,All-League Second Team Safety,1020,7
2018,All-League Second Team Safety,946,18
2018,League's Fastest Man,530,26
2018,League's Strongest Man,829,11
2017,Legend of the Game,2,16
2017,Coach of the Year,50,10
2017,Player of the Year,39,10
2017,Front Office Bowl MVP,39,10
2017,Offensive Player of the Year,39,10
2017,Defensive Player of the Year,1450,19
2017,Offensive Rookie of the Year,1615,13
2017,Defensive Rookie of the Year,1450,19
2017,All-League First Team Quarterback,39,10
2017,All-League First Team Running Back,1223,7
2017,All-League First Team Fullback,1433,23
2017,All-League First Team Tight End,593,13
2017,All-League First Team Wide Receiver,767,1
2017,All-League First Team Wide Receiver,803,14
2017,All-League First Team Center,719,24
2017,All-League First Team Offensive Guard,674,17
2017,All-League First Team Offensive Guard,47,10
2017,All-League First Team Offensive Tackle,57,20
2017,All-League First Team Offensive Tackle,23,21
2017,All-League First Team Punter,214,30
2017,All-League First Team Kicker,518,26
2017,All-League First Team Defensive End,323,17
2017,All-League First Team Defensive End,372,19
2017,All-League First Team Defensive Tackle,56,8
2017,All-League First Team Defensive Tackle,1175,25
2017,All-League First Team Inside Linebacker,1386,30
2017,All-League First Team Outside Linebacker,1806,22
2017,All-League First Team Outside Linebacker,406,27
2017,All-League First Team Cornerback,1255,27
2017,All-League First Team Cornerback,1075,13
2017,All-League First Team Safety,1450,19
2017,All-League First Team Safety,606,0
2017,All-League Second Team Quarterback,105,2
2017,All-League Second Team Running Back,1615,13
2017,All-League Second Team Fullback,82,17
2017,All-League Second Team Tight End,14,7
2017,All-League Second Team Wide Receiver,904,21
2017,All-League Second Team Wide Receiver,1750,6
2017,All-League Second Team Center,324,21
2017,All-League Second Team Offensive Guard,587,24
2017,All-League Second Team Offensive Guard,934,12
2017,All-League Second Team Offensive Tackle,971,18
2017,All-League Second Team Offensive Tackle,489,13
2017,All-League Second Team Punter,1296,23
2017,All-League Second Team Kicker,502,2
2017,All-League Second Team Defensive End,1010,15
2017,All-League Second Team Defensive End,390,14
2017,All-League Second Team Defensive Tackle,1789,18
2017,All-League Second Team Defensive Tackle,401,21
2017,All-League Second Team Inside Linebacker,506,24
2017,All-League Second Team Outside Linebacker,1279,12
2017,All-League Second Team Outside Linebacker,327,29
2017,All-League Second Team Cornerback,670,1
2017,All-League Second Team Cornerback,1653,17
2017,All-League Second Team Safety,715,23
2017,All-League Second Team Safety,946,18
2017,League's Fastest Man,580,31
2017,League's Strongest Man,95,2
