Week,Visitor_Team,Home_Team
Ex. Season Week 1,2,24
Ex. Season Week 1,26,28
Ex. Season Week 2,0,12
Ex. Season Week 2,1,19
Ex. Season Week 2,4,14
Ex. Season Week 2,5,6
Ex. Season Week 2,7,23
Ex. Season Week 2,9,30
Ex. Season Week 2,10,2
Ex. Season Week 2,15,22
Ex. Season Week 2,17,16
Ex. Season Week 2,18,8
Ex. Season Week 2,21,20
Ex. Season Week 2,24,11
Ex. Season Week 2,25,31
Ex. Season Week 2,27,3
Ex. Season Week 2,29,13
Ex. Season Week 3,3,18
Ex. Season Week 3,6,25
Ex. Season Week 3,8,27
Ex. Season Week 3,11,10
Ex. Season Week 3,12,9
Ex. Season Week 3,13,17
Ex. Season Week 3,14,7
Ex. Season Week 3,16,29
Ex. Season Week 3,19,21
Ex. Season Week 3,20,1
Ex. Season Week 3,22,26
Ex. Season Week 3,23,4
Ex. Season Week 3,28,15
Ex. Season Week 3,30,0
Ex. Season Week 3,31,5
Ex. Season Week 4,2,5
Ex. Season Week 4,3,1
Ex. Season Week 4,6,10
Ex. Season Week 4,8,21
Ex. Season Week 4,11,25
Ex. Season Week 4,12,26
Ex. Season Week 4,13,7
Ex. Season Week 4,14,17
Ex. Season Week 4,16,4
Ex. Season Week 4,19,27
Ex. Season Week 4,20,18
Ex. Season Week 4,22,9
Ex. Season Week 4,23,29
Ex. Season Week 4,28,0
Ex. Season Week 4,30,15
Ex. Season Week 4,31,24
Ex. Season Week 5,0,22
Ex. Season Week 5,1,8
Ex. Season Week 5,4,13
Ex. Season Week 5,5,11
Ex. Season Week 5,7,16
Ex. Season Week 5,9,28
Ex. Season Week 5,10,31
Ex. Season Week 5,15,12
Ex. Season Week 5,17,23
Ex. Season Week 5,18,19
Ex. Season Week 5,21,3
Ex. Season Week 5,24,6
Ex. Season Week 5,25,2
Ex. Season Week 5,26,30
Ex. Season Week 5,27,20
Ex. Season Week 5,29,14
Reg. Season Week 1,4,17
Reg. Season Week 1,10,9
Reg. Season Week 1,12,28
Reg. Season Week 1,13,20
Reg. Season Week 1,15,5
Reg. Season Week 1,16,14
Reg. Season Week 1,19,3
Reg. Season Week 1,21,18
Reg. Season Week 1,22,6
Reg. Season Week 1,23,8
Reg. Season Week 1,24,25
Reg. Season Week 1,26,0
Reg. Season Week 1,27,1
Reg. Season Week 1,29,7
Reg. Season Week 1,30,2
Reg. Season Week 1,31,11
Reg. Season Week 2,1,31
Reg. Season Week 2,2,0
Reg. Season Week 2,3,21
Reg. Season Week 2,6,24
Reg. Season Week 2,7,14
Reg. Season Week 2,8,5
Reg. Season Week 2,9,20
Reg. Season Week 2,10,13
Reg. Season Week 2,11,4
Reg. Season Week 2,19,18
Reg. Season Week 2,22,26
Reg. Season Week 2,23,15
Reg. Season Week 2,27,12
Reg. Season Week 2,28,17
Reg. Season Week 2,29,16
Reg. Season Week 2,30,25
Reg. Season Week 3,0,9
Reg. Season Week 3,2,11
Reg. Season Week 3,3,8
Reg. Season Week 3,4,7
Reg. Season Week 3,5,1
Reg. Season Week 3,6,31
Reg. Season Week 3,10,27
Reg. Season Week 3,12,14
Reg. Season Week 3,13,22
Reg. Season Week 3,17,29
Reg. Season Week 3,18,24
Reg. Season Week 3,19,20
Reg. Season Week 3,21,25
