Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Quarterback Rating,0,0,499,1577,2018,0,9
Quarterback Rating,0,1,499,1354,2018,0,5
Quarterback Rating,0,2,307,1061,2018,0,23
Quarterback Rating,0,3,307,1053,2017,0,7
Quarterback Rating,0,4,307,999,2017,0,12
Quarterback Rating,0,5,307,983,2017,0,29
Quarterback Rating,0,6,307,982,2017,0,27
Quarterback Rating,0,7,499,946,2018,0,26
Quarterback Rating,0,8,307,920,2017,0,18
Quarterback Rating,0,9,499,913,2018,0,13
Quarterback Rating,0,10,307,908,2018,0,24
Quarterback Rating,0,11,307,907,2017,0,31
Quarterback Rating,0,12,307,856,2017,0,26
Quarterback Rating,0,13,307,848,2017,0,21
Quarterback Rating,0,14,307,795,2018,0,25
Quarterback Rating,0,15,307,774,2017,0,9
Quarterback Rating,0,16,499,766,2018,0,8
Quarterback Rating,0,17,307,709,2018,0,15
Quarterback Rating,0,18,307,702,2017,0,11
Quarterback Rating,0,19,307,685,2018,0,26
Quarterback Rating,0,20,499,675,2018,0,25
Quarterback Rating,0,21,499,661,2018,0,21
Quarterback Rating,0,22,499,608,2018,0,27
Quarterback Rating,0,23,307,595,2017,0,25
Quarterback Rating,0,24,307,565,2017,0,24
Quarterback Rating,0,25,499,551,2018,0,24
Quarterback Rating,0,26,307,479,2017,0,28
Quarterback Rating,0,27,307,439,2017,0,25
Quarterback Rating,0,28,307,375,2017,0,26
Quarterback Rating,0,29,499,67,2018,0,10
Pass Attempts,0,0,499,51,2018,0,8
Pass Attempts,0,1,499,44,2018,0,13
Pass Attempts,0,2,307,43,2017,0,21
Pass Attempts,0,3,499,43,2018,0,27
Pass Attempts,0,4,307,42,2017,0,25
Pass Attempts,0,5,499,42,2018,0,25
Pass Attempts,0,6,499,41,2018,0,24
Pass Attempts,0,7,307,37,2017,0,9
Pass Attempts,0,8,307,36,2017,0,25
Pass Attempts,0,9,499,36,2018,0,26
Pass Attempts,0,10,307,35,2017,0,26
Pass Attempts,0,11,499,34,2018,0,21
Pass Attempts,0,12,307,34,2018,0,25
Pass Attempts,0,13,307,33,2017,0,11
Pass Attempts,0,14,307,33,2017,0,31
Pass Attempts,0,15,307,33,2017,0,12
Pass Attempts,0,16,307,32,2017,0,26
Pass Attempts,0,17,307,32,2017,0,24
Pass Attempts,0,18,307,30,2017,0,29
Pass Attempts,0,19,499,29,2018,0,5
Pass Attempts,0,20,307,28,2018,0,15
Pass Attempts,0,21,307,28,2018,0,23
Pass Attempts,0,22,307,27,2018,0,24
Pass Attempts,0,23,307,26,2017,0,7
Pass Attempts,0,24,307,26,2017,0,27
Pass Attempts,0,25,307,26,2017,0,28
Pass Attempts,0,26,307,26,2017,0,18
Pass Attempts,0,27,499,23,2018,0,9
Pass Attempts,0,28,499,21,2018,0,10
Pass Attempts,0,29,307,20,2018,0,26
Pass Attempts,0,30,307,19,2017,0,24
Pass Attempts,0,31,12,17,2017,0,24
Pass Attempts,0,32,307,17,2018,0,20
Pass Attempts,0,33,1835,16,2018,0,26
Pass Attempts,0,34,499,10,2018,0,20
Pass Attempts,0,35,307,8,2018,0,10
Pass Attempts,0,36,307,4,2018,0,24
Pass Attempts,0,37,20,1,2018,0,24
Pass Completions,0,0,499,31,2018,0,13
Pass Completions,0,1,307,30,2017,0,21
Pass Completions,0,2,499,29,2018,0,8
Pass Completions,0,3,307,24,2017,0,25
Pass Completions,0,4,499,23,2018,0,27
Pass Completions,0,5,499,23,2018,0,25
Pass Completions,0,6,307,22,2017,0,29
Pass Completions,0,7,499,22,2018,0,5
Pass Completions,0,8,499,22,2018,0,26
Pass Completions,0,9,307,21,2017,0,9
Pass Completions,0,10,307,21,2017,0,31
Pass Completions,0,11,499,21,2018,0,9
Pass Completions,0,12,307,20,2017,0,7
Pass Completions,0,13,499,20,2018,0,24
Pass Completions,0,14,499,20,2018,0,21
Pass Completions,0,15,307,20,2018,0,25
Pass Completions,0,16,307,19,2017,0,12
Pass Completions,0,17,307,19,2017,0,26
Pass Completions,0,18,307,19,2018,0,15
Pass Completions,0,19,307,19,2018,0,24
Pass Completions,0,20,307,18,2017,0,27
Pass Completions,0,21,307,18,2017,0,18
Pass Completions,0,22,307,17,2017,0,11
Pass Completions,0,23,307,15,2017,0,26
Pass Completions,0,24,307,15,2017,0,24
Pass Completions,0,25,307,15,2018,0,23
Pass Completions,0,26,307,14,2017,0,25
Pass Completions,0,27,307,14,2017,0,28
Pass Completions,0,28,307,12,2017,0,24
Pass Completions,0,29,307,12,2018,0,26
Pass Completions,0,30,12,8,2017,0,24
Pass Completions,0,31,499,8,2018,0,10
Pass Completions,0,32,307,6,2018,0,10
Pass Completions,0,33,307,6,2018,0,20
Pass Completions,0,34,1835,5,2018,0,26
Pass Completions,0,35,499,4,2018,0,20
Completion Percentage,0,0,499,913,2018,0,9
Completion Percentage,0,1,307,769,2017,0,7
Completion Percentage,0,2,499,759,2018,0,5
