Player_ID,Last_Name,First_Name,Junior_Flag,Nickname,Position,Player_of_Game_Count,Championship_Rings,Player_of_the_Week_Count,Player_of_the_Week_Win,Height,Weight,Hall_of_Fame_Flag,Year_Inducted,Percentage_of_Vote,Chosen_Team,Year_Born,Month_Born,Day_Born,College,Draft_Round,Drafted_Position,Drafted_By,Draft_Year,4th_Quarter_Comebacks,Quarterback_Wins,Quarterback_Losses,Quarterback_Ties,Home_Town,Home_State,Career_Games_Played,Number_of_Seasons,Season_1_Pointer_to_Player_Year_Data,SP_2,SP_3,SP_4,SP_5,SP_6,SP_7,SP_8,SP_9,SP_10,SP_11,SP_12,SP_13,SP_14,SP_15,SP_16,SP_17,SP_18,SP_19,SP_20,Season_1_Year,SY_2,SY_3,SY_4,SY_5,SY_6,SY_7,SY_8,SY_9,SY_10,SY_11,SY_12,SY_13,SY_14,SY_15,SY_16,SY_17,SY_18,SY_19,SY_20
1,Vinatieri,Adam,0,,K,0,0,2,0,72,202,0,0,0,0,1972,12,28,326,0,0,-1,0,0,0,0,0,11110,41,16,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brady,Tom,0,,QB,6,0,9,0,76,225,0,0,0,0,1977,8,3,13,6,33,16,2000,2,8,7,1,1368,5,16,1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dawson,Phil,0,,K,0,0,4,0,71,200,0,0,0,0,1975,1,23,30,0,0,-1,0,0,0,0,0,2118,9,16,1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Lechler,Shane,0,,P,0,0,0,0,74,225,0,0,0,0,1976,8,7,31,5,13,20,2000,0,0,0,0,11969,43,17,1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brees,Drew,0,,QB,5,0,7,0,72,209,0,0,0,0,1979,1,15,19,2,1,23,2001,3,8,6,0,11487,43,14,1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bryant,Matt,0,,K,0,0,2,0,69,200,0,0,0,0,1975,5,29,27,0,0,-1,0,0,0,0,0,11805,43,16,1,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Peppers,Julius,0,,LDE,0,0,2,0,77,287,0,0,0,0,1980,1,18,6,1,2,4,2002,0,0,0,0,8857,33,32,2,138,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Gates,Antonio,0,,TE,0,0,3,0,76,260,0,0,0,0,1980,6,18,59,0,0,-1,0,0,0,0,0,5477,22,16,1,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Harrison,James,0,,WLB,0,0,3,0,72,242,0,0,0,0,1978,5,4,59,0,0,-1,0,0,0,0,0,9164,35,16,1,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,McCown,Josh,0,,QB,3,0,2,0,76,215,0,0,0,0,1979,7,4,197,3,16,0,2002,2,7,5,0,11828,43,12,1,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
