Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Quarterback Rating,2,0,105,795,2017,2,3
Pass Attempts,2,0,105,36,2017,2,3
Pass Completions,2,0,105,18,2017,2,3
Completion Percentage,2,0,105,500,2017,2,3
Passing Yards,2,0,105,229,2017,2,3
Yards per Pass Attempt,2,0,105,636,2017,2,3
Passing Touchdowns,2,0,105,1,2017,2,3
Times Sacked,2,0,105,2,2017,2,3
Rushing Attempts,2,0,890,18,2017,2,3
Rushing Attempts,2,1,191,10,2017,2,3
Rushing Attempts,2,2,105,3,2017,2,3
Rushing Attempts,2,3,165,1,2017,2,3
Rushing Yards,2,0,890,103,2017,2,3
Rushing Yards,2,1,191,86,2017,2,3
Rushing Yards,2,2,165,7,2017,2,3
Rushing Yards,2,3,105,2,2017,2,3
Yards per Carry,2,0,890,572,2017,2,3
Rushing Touchdowns,2,0,191,1,2017,2,3
Receptions,2,0,188,5,2017,2,3
Receptions,2,1,1071,5,2017,2,3
Receptions,2,2,1132,3,2017,2,3
Receptions,2,3,165,2,2017,2,3
Receptions,2,4,890,2,2017,2,3
Receptions,2,5,908,1,2017,2,3
Receiving Yards,2,0,188,76,2017,2,3
Receiving Yards,2,1,1071,76,2017,2,3
Receiving Yards,2,2,1132,39,2017,2,3
Receiving Yards,2,3,165,25,2017,2,3
Receiving Yards,2,4,890,7,2017,2,3
Receiving Yards,2,5,908,6,2017,2,3
Yards per Reception,2,0,188,1520,2017,2,3
Yards per Reception,2,1,1071,1520,2017,2,3
Receiving Touchdowns,2,0,188,1,2017,2,3
Targeted Passes,2,0,188,11,2017,2,3
Targeted Passes,2,1,165,7,2017,2,3
Targeted Passes,2,2,1071,6,2017,2,3
Targeted Passes,2,3,1132,5,2017,2,3
Targeted Passes,2,4,890,3,2017,2,3
Targeted Passes,2,5,27,1,2017,2,3
Targeted Passes,2,6,908,1,2017,2,3
Targeted Passes,2,7,923,1,2017,2,3
Passes Dropped,2,0,188,1,2017,2,3
Passes Dropped,2,1,1132,1,2017,2,3
Interceptions,2,0,1448,1,2017,2,3
Pass Defense Percentage,2,0,1448,1000,2017,2,3
Pass Defense Percentage,2,1,833,865,2017,2,3
Pass Defense Percentage,2,2,1293,863,2017,2,3
Pass Defense Percentage,2,3,102,825,2017,2,3
Pass Defense Percentage,2,4,13,775,2017,2,3
Pass Defense Percentage,2,5,189,775,2017,2,3
Pass Defense Percentage,2,6,360,501,2017,2,3
Tackles,2,0,13,8,2017,2,3
Tackles,2,1,833,8,2017,2,3
Tackles,2,2,189,7,2017,2,3
Tackles,2,3,360,4,2017,2,3
Tackles,2,4,102,3,2017,2,3
Tackles,2,5,1293,3,2017,2,3
Tackles,2,6,93,2,2017,2,3
Tackles,2,7,684,2,2017,2,3
Tackles,2,8,953,2,2017,2,3
Tackles,2,9,2859,2,2017,2,3
Tackles,2,10,1201,1,2017,2,3
Tackles,2,11,1263,1,2017,2,3
Tackles,2,12,1364,1,2017,2,3
Tackles,2,13,1502,1,2017,2,3
Assists,2,0,189,3,2017,2,3
Assists,2,1,833,3,2017,2,3
Assists,2,2,93,2,2017,2,3
Assists,2,3,1502,2,2017,2,3
Assists,2,4,13,1,2017,2,3
Assists,2,5,360,1,2017,2,3
Assists,2,6,953,1,2017,2,3
Assists,2,7,1263,1,2017,2,3
Assists,2,8,1364,1,2017,2,3
Assists,2,9,2859,1,2017,2,3
Sacks,2,0,13,10,2017,2,3
Sacks,2,1,833,5,2017,2,3
Sacks,2,2,953,5,2017,2,3
Hurries,2,0,102,1,2017,2,3
Hurries,2,1,684,1,2017,2,3
Hurries,2,2,1364,1,2017,2,3
Blocked Passes,2,0,13,2,2017,2,3
Field Goals,2,0,502,3,2017,2,3
Key Run Blocks,2,0,95,6,2017,2,3
Key Run Blocks,2,1,1315,4,2017,2,3
Key Run Blocks,2,2,1011,2,2017,2,3
Key Run Blocks,2,3,1015,2,2017,2,3
Key Run Blocks,2,4,1401,1,2017,2,3
Key Run Opportunities,2,0,95,11,2017,2,3
Key Run Opportunities,2,1,1011,5,2017,2,3
Key Run Opportunities,2,2,1315,5,2017,2,3
Key Run Opportunities,2,3,1015,4,2017,2,3
Key Run Opportunities,2,4,1401,3,2017,2,3
Key Run Opportunities,2,5,1132,2,2017,2,3
Passes Defensed,2,0,833,1,2017,2,3
Passes Defensed,2,1,1293,1,2017,2,3
Punt Return Yards,2,0,728,36,2017,2,3
Kickoff Return Yards,2,0,728,26,2017,2,3
Points Scored,2,0,502,10,2017,2,3
Points Scored,2,1,188,6,2017,2,3
Points Scored,2,2,191,6,2017,2,3
Yards from Scrimmage,2,0,890,110,2017,2,3
Yards from Scrimmage,2,1,191,86,2017,2,3
Yards from Scrimmage,2,2,188,76,2017,2,3
Yards from Scrimmage,2,3,1071,76,2017,2,3
Yards from Scrimmage,2,4,1132,39,2017,2,3
Yards from Scrimmage,2,5,165,32,2017,2,3
Yards from Scrimmage,2,6,908,6,2017,2,3
Yards from Scrimmage,2,7,105,2,2017,2,3
All-Purpose Yards,2,0,890,110,2017,2,3
All-Purpose Yards,2,1,191,86,2017,2,3
All-Purpose Yards,2,2,188,76,2017,2,3
All-Purpose Yards,2,3,1071,76,2017,2,3
All-Purpose Yards,2,4,728,62,2017,2,3
All-Purpose Yards,2,5,1132,39,2017,2,3
All-Purpose Yards,2,6,165,32,2017,2,3
All-Purpose Yards,2,7,1448,12,2017,2,3
All-Purpose Yards,2,8,908,6,2017,2,3
All-Purpose Yards,2,9,105,2,2017,2,3
Quarterback Rating,3,0,366,1209,2017,3,6
Quarterback Rating,3,1,366,840,2017,3,2
Quarterback Rating,3,2,366,812,2017,3,13
Pass Attempts,3,0,366,33,2017,3,13
Pass Attempts,3,1,366,24,2017,3,2
Pass Attempts,3,2,366,23,2017,3,6
Pass Completions,3,0,366,18,2017,3,13
Pass Completions,3,1,366,16,2017,3,6
Pass Completions,3,2,366,13,2017,3,2
Completion Percentage,3,0,366,696,2017,3,6
Completion Percentage,3,1,366,545,2017,3,13
Completion Percentage,3,2,366,542,2017,3,2
Passing Yards,3,0,366,187,2017,3,13
Passing Yards,3,1,366,176,2017,3,6
Passing Yards,3,2,366,152,2017,3,2
Yards per Pass Attempt,3,0,366,765,2017,3,6
Yards per Pass Attempt,3,1,366,633,2017,3,2
Yards per Pass Attempt,3,2,366,567,2017,3,13
Passing Touchdowns,3,0,366,2,2017,3,6
Passing Touchdowns,3,1,366,2,2017,3,2
Passing Touchdowns,3,2,366,1,2017,3,13
Times Sacked,3,0,366,7,2017,3,13
Times Sacked,3,1,366,2,2017,3,2
Times Sacked,3,2,366,1,2017,3,6
Rushing Attempts,3,0,131,17,2017,3,6
Rushing Attempts,3,1,2398,15,2017,3,2
Rushing Attempts,3,2,366,13,2017,3,13
Rushing Attempts,3,3,2423,12,2017,3,2
Rushing Attempts,3,4,2398,10,2017,3,13
Rushing Attempts,3,5,2423,9,2017,3,6
Rushing Attempts,3,6,2398,6,2017,3,6
Rushing Attempts,3,7,366,6,2017,3,2
Rushing Attempts,3,8,366,3,2017,3,6
Rushing Attempts,3,9,2423,2,2017,3,13
Rushing Attempts,3,10,185,1,2017,3,2
Rushing Attempts,3,11,185,1,2017,3,13
Rushing Yards,3,0,131,140,2017,3,6
Rushing Yards,3,1,2423,91,2017,3,2
Rushing Yards,3,2,366,84,2017,3,13
Rushing Yards,3,3,366,58,2017,3,2
Rushing Yards,3,4,2398,37,2017,3,2
Rushing Yards,3,5,2398,25,2017,3,13
Rushing Yards,3,6,2398,15,2017,3,6
Rushing Yards,3,7,2423,14,2017,3,6
Rushing Yards,3,8,366,11,2017,3,6
Yards per Carry,3,0,131,824,2017,3,6
Yards per Carry,3,1,2398,247,2017,3,2
Rushing Touchdowns,3,0,131,1,2017,3,6
Rushing Touchdowns,3,1,2423,1,2017,3,2
Rushing Touchdowns,3,2,2398,1,2017,3,13
Receptions,3,0,436,7,2017,3,13
Receptions,3,1,436,5,2017,3,6
Receptions,3,2,820,5,2017,3,13
Receptions,3,3,298,3,2017,3,6
Receptions,3,4,298,3,2017,3,2
Receptions,3,5,436,3,2017,3,2
Receptions,3,6,820,2,2017,3,6
Receptions,3,7,2423,2,2017,3,6
Receptions,3,8,820,2,2017,3,2
Receptions,3,9,1635,2,2017,3,2
Receptions,3,10,2398,2,2017,3,2
Receptions,3,11,1635,2,2017,3,13
Receptions,3,12,131,1,2017,3,6
Receptions,3,13,1355,1,2017,3,6
Receptions,3,14,1635,1,2017,3,6
Receptions,3,15,1946,1,2017,3,6
Receptions,3,16,131,1,2017,3,2
Receptions,3,17,298,1,2017,3,13
Receptions,3,18,1355,1,2017,3,13
Receptions,3,19,2398,1,2017,3,13
Receptions,3,20,2423,1,2017,3,13
Receiving Yards,3,0,820,56,2017,3,13
Receiving Yards,3,1,436,53,2017,3,13
Receiving Yards,3,2,436,48,2017,3,2
Receiving Yards,3,3,298,43,2017,3,2
Receiving Yards,3,4,820,40,2017,3,6
Receiving Yards,3,5,298,37,2017,3,6
Receiving Yards,3,6,436,35,2017,3,6
Receiving Yards,3,7,1635,28,2017,3,13
Receiving Yards,3,8,1635,24,2017,3,6
Receiving Yards,3,9,1635,23,2017,3,2
Receiving Yards,3,10,2398,23,2017,3,2
Receiving Yards,3,11,131,18,2017,3,6
Receiving Yards,3,12,298,15,2017,3,13
Receiving Yards,3,13,2398,15,2017,3,13
Receiving Yards,3,14,1946,13,2017,3,6
Receiving Yards,3,15,1355,11,2017,3,13
Receiving Yards,3,16,2423,10,2017,3,6
Receiving Yards,3,17,2423,9,2017,3,13
Receiving Yards,3,18,131,8,2017,3,2
Receiving Yards,3,19,820,7,2017,3,2
Yards per Reception,3,0,820,1120,2017,3,13
Yards per Reception,3,1,436,757,2017,3,13
Yards per Reception,3,2,436,700,2017,3,6
Receiving Touchdowns,3,0,298,1,2017,3,6
Receiving Touchdowns,3,1,820,1,2017,3,6
Receiving Touchdowns,3,2,298,1,2017,3,2
Receiving Touchdowns,3,3,1635,1,2017,3,2
Receiving Touchdowns,3,4,436,1,2017,3,13
Targeted Passes,3,0,436,14,2017,3,13
Targeted Passes,3,1,298,8,2017,3,2
Targeted Passes,3,2,436,8,2017,3,2
Targeted Passes,3,3,820,7,2017,3,13
Targeted Passes,3,4,436,6,2017,3,6
Targeted Passes,3,5,820,6,2017,3,6
Targeted Passes,3,6,2398,4,2017,3,13
Targeted Passes,3,7,298,3,2017,3,6
Targeted Passes,3,8,820,3,2017,3,2
Targeted Passes,3,9,1635,3,2017,3,13
Targeted Passes,3,10,2423,3,2017,3,13
Targeted Passes,3,11,131,2,2017,3,6
Targeted Passes,3,12,1635,2,2017,3,6
Targeted Passes,3,13,2423,2,2017,3,6
Targeted Passes,3,14,1635,2,2017,3,2
Targeted Passes,3,15,2398,2,2017,3,2
Targeted Passes,3,16,1355,1,2017,3,6
Targeted Passes,3,17,1946,1,2017,3,6
Targeted Passes,3,18,131,1,2017,3,2
Targeted Passes,3,19,298,1,2017,3,13
Targeted Passes,3,20,1355,1,2017,3,13
Passes Dropped,3,0,298,2,2017,3,2
Passes Dropped,3,1,820,1,2017,3,6
Passes Dropped,3,2,1635,1,2017,3,6
Passes Dropped,3,3,436,1,2017,3,2
Interceptions,3,0,1811,1,2017,3,13
Pass Defense Percentage,3,0,1811,958,2017,3,13
Pass Defense Percentage,3,1,3083,852,2017,3,2
Pass Defense Percentage,3,2,584,845,2017,3,13
Pass Defense Percentage,3,3,1811,825,2017,3,6
Pass Defense Percentage,3,4,629,825,2017,3,2
Pass Defense Percentage,3,5,64,820,2017,3,2
Pass Defense Percentage,3,6,64,817,2017,3,13
Pass Defense Percentage,3,7,2968,816,2017,3,6
Pass Defense Percentage,3,8,629,789,2017,3,13
Pass Defense Percentage,3,9,1811,775,2017,3,2
Pass Defense Percentage,3,10,584,748,2017,3,6
Pass Defense Percentage,3,11,2968,732,2017,3,13
Pass Defense Percentage,3,12,3083,713,2017,3,6
Pass Defense Percentage,3,13,64,708,2017,3,6
Pass Defense Percentage,3,14,2968,692,2017,3,2
Pass Defense Percentage,3,15,584,683,2017,3,2
Pass Defense Percentage,3,16,3083,662,2017,3,13
Pass Defense Percentage,3,17,629,580,2017,3,6
Tackles,3,0,584,10,2017,3,2
Tackles,3,1,1811,9,2017,3,2
Tackles,3,2,64,8,2017,3,6
Tackles,3,3,629,6,2017,3,6
Tackles,3,4,1430,6,2017,3,6
Tackles,3,5,64,6,2017,3,2
Tackles,3,6,63,6,2017,3,13
Tackles,3,7,2968,6,2017,3,13
Tackles,3,8,2968,5,2017,3,6
Tackles,3,9,3083,5,2017,3,13
Tackles,3,10,230,4,2017,3,2
Tackles,3,11,1430,4,2017,3,2
Tackles,3,12,2968,4,2017,3,2
Tackles,3,13,64,4,2017,3,13
Tackles,3,14,629,4,2017,3,13
Tackles,3,15,1811,4,2017,3,13
Tackles,3,16,584,3,2017,3,6
Tackles,3,17,723,3,2017,3,6
Tackles,3,18,1312,3,2017,3,6
Tackles,3,19,1312,3,2017,3,2
Tackles,3,20,584,3,2017,3,13
Tackles,3,21,723,3,2017,3,13
Tackles,3,22,1312,3,2017,3,13
Tackles,3,23,63,2,2017,3,6
Tackles,3,24,143,2,2017,3,6
Tackles,3,25,768,2,2017,3,6
Tackles,3,26,2304,2,2017,3,6
Tackles,3,27,3083,2,2017,3,6
Tackles,3,28,63,2,2017,3,2
Tackles,3,29,629,2,2017,3,2
Tackles,3,30,3020,2,2017,3,2
Tackles,3,31,230,2,2017,3,13
Tackles,3,32,500,2,2017,3,13
Tackles,3,33,1430,2,2017,3,13
Tackles,3,34,2304,2,2017,3,13
Tackles,3,35,3020,2,2017,3,13
Tackles,3,36,230,1,2017,3,6
Tackles,3,37,500,1,2017,3,6
Tackles,3,38,1811,1,2017,3,6
Tackles,3,39,3020,1,2017,3,6
Tackles,3,40,723,1,2017,3,2
Tackles,3,41,2304,1,2017,3,2
Tackles,3,42,2398,1,2017,3,2
Tackles,3,43,3083,1,2017,3,2
Tackles,3,44,409,1,2017,3,13
Assists,3,0,64,6,2017,3,2
Assists,3,1,230,3,2017,3,6
Assists,3,2,1811,3,2017,3,6
Assists,3,3,584,3,2017,3,13
Assists,3,4,1430,3,2017,3,13
Assists,3,5,2304,2,2017,3,6
Assists,3,6,2968,2,2017,3,2
Assists,3,7,1811,2,2017,3,13
Assists,3,8,63,1,2017,3,6
