Player_ID,Last_Name,First_Name,Position_Group,College,Height,Weight,Dash,Solecismic,Strength,Agility,Jump,Position_Specific,Developed,Grade
3980,Cobb,Lorenzo,QB,Texas,74,219,501,45,13,744,105,76,17,52
3981,Corriveau,Terrell,QB,Tulsa,74,220,464,53,20,717,112,83,39,81
3982,Perez,Dominic,QB,Fort Lewis,74,226,497,36,7,747,107,76,28,50
3983,Long,Norm,QB,Florida,73,213,465,21,9,828,102,59,34,33
3984,Bernius,Richie,QB,Kent State,74,221,0,20,0,0,0,0,17,50
3985,Butler,Josh,QB,Air Force,73,216,504,26,8,815,105,81,13,39
3986,Lopez,Aiden,QB,Wyoming,72,210,474,28,10,780,109,71,41,57
3987,Gomez,Jonah,QB,Nevada - Las Vegas,73,208,494,41,9,751,107,51,38,41
3988,Harvey,Spencer,QB,Tennessee,71,203,504,28,6,780,107,71,36,35
3989,Sheldon,Gene,QB,Arizona,72,204,463,30,8,740,103,74,17,43
3990,Fulton,Cameron,QB,Arizona,74,212,470,34,15,772,94,70,20,52
3991,Solorio,Lorenzo,QB,Auburn,76,222,480,40,10,819,107,96,7,52
3992,Brinkow,Gregory,QB,Mississippi,74,222,491,18,9,780,91,71,34,33
3993,Schmidgall,Eduardo,QB,Notre Dame,74,218,478,31,7,752,109,72,26,42
3994,Fikarski,Desmond,QB,Temple,73,206,456,23,7,805,108,64,25,40
3995,Horie,Salvador,QB,UCLA,76,234,470,26,8,780,103,97,31,39
3996,Kleinman,Clarence,QB,Wake Forest,75,237,460,26,7,773,105,64,36,36
3997,Whiteside,J.B.,QB,Duke,74,219,484,28,9,795,107,82,4,47
3998,Walters,Edmond,QB,San Jose State,70,219,490,21,6,817,98,89,10,26
3999,Richardson,Shaun,QB,UCLA,72,219,504,33,8,782,103,63,42,44
4000,Rodriguez,Sammy,QB,Utah,74,217,473,24,10,769,98,50,22,37
4001,Maloney,Clay,QB,Rutgers,73,215,463,29,10,774,102,74,35,44
4002,Stone,Josh,QB,Duke,73,211,484,19,9,837,101,53,1,21
4003,Jennings,Theodore,QB,Furman,75,219,456,22,9,754,103,76,9,34
4004,Dawson,Marlon,QB,Boston College,71,211,478,22,7,780,108,75,31,35
4005,Booker,Moe,QB,Clemson,72,214,497,30,11,807,100,74,20,46
4006,Russell,Jackie,QB,Auburn,70,215,481,16,7,813,106,69,14,28
4007,Hammond,Brendan,QB,Florida,73,208,473,34,11,780,108,81,27,52
4008,Reynolds,Tyrus,QB,Wisconsin,72,219,473,15,8,794,98,69,33,31
4009,Kristosik,Damon,QB,Montana State,76,228,462,36,12,761,107,78,37,60
4010,Allen,Walt,QB,Cincinnati,75,229,464,35,9,771,109,77,23,54
4011,Blades,Ben,QB,Texas A&M,76,231,473,23,7,810,98,77,15,34
4012,Schultz,Conrad,QB,San Jose State,74,219,484,19,6,826,106,61,11,23
4013,Price,Devon,QB,Colorado State,75,232,467,25,7,748,110,76,35,48
4014,Rollins,Demetrius,QB,Baylor,74,221,515,29,6,780,106,67,6,32
4015,Berube,Dillon,QB,California,73,211,0,36,0,0,0,77,1,49
4016,Johnson,Jeffrey,QB,South Carolina,75,231,485,30,14,793,114,74,12,50
4017,Hardy,Samuel,QB,Wisconsin,74,219,479,20,6,789,107,83,22,41
4018,Reichardt,Geoff,QB,Auburn,71,208,491,28,10,822,92,74,10,41
4019,Legge,Kendall,QB,Boston College,73,210,461,28,11,806,106,87,22,48
4020,Humphries,Deon,QB,Wisconsin,73,203,479,30,10,773,91,75,20,36
4021,Prescott,Kaleb,QB,Indiana,72,203,489,38,12,753,101,53,34,52
4022,Ickes,Justics,QB,Minnesota,78,233,474,30,10,776,93,75,15,40
4023,Clinton,Mason,QB,Ferris State,73,211,449,32,9,763,102,75,6,42
4024,Stevenson,Travis,QB,California  Pa.,75,223,465,31,7,810,105,69,43,41
4025,Ford,Irv,QB,Kansas,77,225,506,24,7,827,107,69,11,28
4026,Dotson,Roger,QB,North Carolina,71,205,468,36,16,810,104,77,37,56
4027,Aleman,Emmanuel,QB,Arkansas,73,211,457,39,9,729,108,78,11,52
4028,Starks,Emmanuel,QB,South Carolina,77,231,468,30,12,780,94,80,46,50
4029,Tyler,Darrell,QB,Wisconsin,72,211,484,15,8,832,95,50,19,19
4030,Kipps,Donovan,QB,Minnesota,74,216,488,28,9,801,107,63,31,36
4031,Blanks,Joshua,QB,Wagner,73,211,466,40,12,755,103,78,1,59
4032,McKenna,Jerald,QB,Utah,73,211,506,28,6,780,96,68,15,31
4033,Marsh,Wally,QB,Kansas State,74,219,484,17,10,803,90,72,17,32
4034,Webster,Grayson,QB,Texas,74,219,482,36,13,791,104,90,4,55
4035,Lincoln,Freddie,QB,California,74,216,470,24,12,786,107,54,44,47
4036,Kirk,Bruce,QB,The Citadel,73,211,470,25,10,761,98,70,1,41
4037,Wischhof,Gabe,QB,Kentucky,73,210,474,13,6,780,98,78,28,29
4038,Farley,Julio,QB,Southeast Missouri St.,70,207,511,16,10,780,90,68,27,34
4039,Magallanes,Devan,RB,Nebraska,69,205,469,27,20,705,121,30,37,47
4040,Crigger,Myron,RB,Wayne State (Neb.),71,222,464,31,21,735,116,32,31,52
