Category,Team/All_Teams,Place,Player,Record,Team,Year
Quarterback Rating,0,0,499,795,0,2018
Quarterback Rating,0,1,307,757,0,2017
Pass Attempts,0,0,307,509,0,2017
Pass Attempts,0,1,499,374,0,2018
Pass Attempts,0,2,307,166,0,2018
Pass Attempts,0,3,12,17,0,2017
Pass Attempts,0,4,1835,16,0,2018
Pass Attempts,0,5,20,1,0,2018
Pass Completions,0,0,307,299,0,2017
Pass Completions,0,1,499,223,0,2018
Pass Completions,0,2,307,97,0,2018
Pass Completions,0,3,12,8,0,2017
Pass Completions,0,4,1835,5,0,2018
Completion Percentage,0,0,499,596,0,2018
Completion Percentage,0,1,307,587,0,2017
Passing Yards,0,0,307,3157,0,2017
Passing Yards,0,1,499,2252,0,2018
Passing Yards,0,2,307,1071,0,2018
Passing Yards,0,3,12,180,0,2017
Passing Yards,0,4,1835,108,0,2018
Yards per Pass Attempt,0,0,307,620,0,2017
Yards per Pass Attempt,0,1,499,602,0,2018
Passing Touchdowns,0,0,499,13,0,2018
Passing Touchdowns,0,1,307,7,0,2017
Passing Touchdowns,0,2,307,5,0,2018
Passing Touchdowns,0,3,12,1,0,2017
Passing Touchdowns,0,4,1835,1,0,2018
Times Sacked,0,0,307,52,0,2017
Times Sacked,0,1,307,22,0,2018
Times Sacked,0,2,499,20,0,2018
Times Sacked,0,3,12,2,0,2017
Times Sacked,0,4,1835,1,0,2018
300 Yards Passing,0,0,307,1,0,2017
Rushing Attempts,0,0,86,149,0,2017
Rushing Attempts,0,1,597,141,0,2018
Rushing Attempts,0,2,3289,135,0,2018
Rushing Attempts,0,3,307,97,0,2017
Rushing Attempts,0,4,560,93,0,2017
Rushing Attempts,0,5,1016,78,0,2017
Rushing Attempts,0,6,1084,63,0,2018
Rushing Attempts,0,7,499,34,0,2018
Rushing Attempts,0,8,307,29,0,2018
Rushing Attempts,0,9,1812,7,0,2018
Rushing Attempts,0,10,1812,5,0,2017
Rushing Attempts,0,11,2590,2,0,2017
Rushing Attempts,0,12,3365,2,0,2018
Rushing Attempts,0,13,12,1,0,2017
Rushing Attempts,0,14,541,1,0,2017
Rushing Attempts,0,15,778,1,0,2018
Rushing Attempts,0,16,1057,1,0,2018
Rushing Yards,0,0,86,673,0,2017
Rushing Yards,0,1,597,635,0,2018
Rushing Yards,0,2,3289,593,0,2018
Rushing Yards,0,3,307,568,0,2017
Rushing Yards,0,4,560,433,0,2017
Rushing Yards,0,5,1016,327,0,2017
Rushing Yards,0,6,307,203,0,2018
Rushing Yards,0,7,1084,182,0,2018
Rushing Yards,0,8,499,166,0,2018
Rushing Yards,0,9,1812,42,0,2018
Rushing Yards,0,10,3365,15,0,2018
Rushing Yards,0,11,2590,11,0,2017
Rushing Yards,0,12,778,7,0,2018
Rushing Yards,0,13,1812,6,0,2017
Rushing Yards,0,14,12,4,0,2017
Rushing Yards,0,15,541,4,0,2017
Rushing Yards,0,16,1057,3,0,2018
Yards per Carry,0,0,86,452,0,2017
Yards per Carry,0,1,597,450,0,2018
Yards per Carry,0,2,3289,439,0,2018
Rushing Touchdowns,0,0,560,7,0,2017
Rushing Touchdowns,0,1,307,4,0,2017
Rushing Touchdowns,0,2,1016,4,0,2017
Rushing Touchdowns,0,3,597,3,0,2018
Rushing Touchdowns,0,4,1084,3,0,2018
Rushing Touchdowns,0,5,3289,3,0,2018
Rushing Touchdowns,0,6,307,2,0,2018
Rushing Touchdowns,0,7,86,1,0,2017
Rushing Touchdowns,0,8,1812,1,0,2017
100 Yards Rushing,0,0,86,1,0,2017
100 Yards Rushing,0,1,597,1,0,2018
Receptions,0,0,223,65,0,2017
Receptions,0,1,223,53,0,2018
Receptions,0,2,1812,52,0,2018
Receptions,0,3,86,49,0,2017
Receptions,0,4,17,46,0,2017
Receptions,0,5,597,40,0,2018
Receptions,0,6,3435,37,0,2018
Receptions,0,7,2590,33,0,2017
Receptions,0,8,1812,29,0,2017
Receptions,0,9,778,27,0,2018
Receptions,0,10,1084,27,0,2018
Receptions,0,11,836,24,0,2017
Receptions,0,12,654,24,0,2018
Receptions,0,13,2561,21,0,2018
Receptions,0,14,1057,19,0,2018
Receptions,0,15,560,15,0,2017
Receptions,0,16,1057,14,0,2017
Receptions,0,17,541,11,0,2017
Receptions,0,18,3289,11,0,2018
Receptions,0,19,3365,10,0,2018
Receptions,0,20,2463,7,0,2017
Receptions,0,21,1016,5,0,2017
Receptions,0,22,1053,5,0,2017
Receptions,0,23,773,3,0,2017
Receptions,0,24,680,3,0,2018
Receptions,0,25,98,1,0,2018
Receiving Yards,0,0,223,650,0,2017
Receiving Yards,0,1,223,589,0,2018
Receiving Yards,0,2,1812,566,0,2018
Receiving Yards,0,3,17,558,0,2017
Receiving Yards,0,4,3435,475,0,2018
Receiving Yards,0,5,86,452,0,2017
Receiving Yards,0,6,2590,376,0,2017
Receiving Yards,0,7,1812,344,0,2017
Receiving Yards,0,8,2561,327,0,2018
Receiving Yards,0,9,597,323,0,2018
Receiving Yards,0,10,654,281,0,2018
Receiving Yards,0,11,836,261,0,2017
Receiving Yards,0,12,1084,232,0,2018
Receiving Yards,0,13,1057,213,0,2018
Receiving Yards,0,14,560,193,0,2017
Receiving Yards,0,15,1057,174,0,2017
Receiving Yards,0,16,778,168,0,2018
Receiving Yards,0,17,3365,105,0,2018
Receiving Yards,0,18,541,94,0,2017
Receiving Yards,0,19,3289,81,0,2018
Receiving Yards,0,20,1053,72,0,2017
Receiving Yards,0,21,1016,49,0,2017
Receiving Yards,0,22,773,45,0,2017
Receiving Yards,0,23,680,37,0,2018
Receiving Yards,0,24,98,34,0,2018
Receiving Yards,0,25,2463,33,0,2017
