Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Offensive_Style,Offensive_Plays,Defensive_Front,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,99,None,Quarterbacks,0,59,32,65,66,25,0,0,6,68,0,20,63,67,0,0,53,34,0,39,0
1,Goodwin,Harold,0,Offensive Coordinator,Offensive Linemen,240,15,77,64,24,78,0,0,6,67,0,53,47,46,0,3,44,54,0,51,0
2,Bettcher,James,0,Defensive Coordinator,Linebackers,229,71,20,32,12,54,0,0,0,0,2,14,56,41,0,4,35,0,39,34,0
3,Moore,Tom,99,None,Running Backs,0,31,17,33,50,28,0,0,6,58,0,28,46,81,1,0,32,26,0,23,0
4,Morris,Buddy,0,Strength Coordinator,Strength,132,0,0,0,0,0,68,50,0,0,0,0,0,62,0,4,0,0,0,0,55
5,Quinn,Dan,1,Head Coach,Defensive Linemen,680,9,26,76,58,48,0,0,0,0,4,37,44,49,0,4,44,0,29,26,0
6,Sarkisian,Steve,1,Offensive Coordinator,Quarterbacks,237,65,35,63,74,63,0,0,2,66,0,28,69,45,0,1,57,44,0,43,0
7,Manuel,Marquand,1,Defensive Coordinator,Secondary,237,27,13,67,62,53,0,0,0,0,4,36,76,40,0,2,49,0,31,28,0
8,Morris,Raheem,1,Assistant Coach,Secondary,329,61,65,10,51,62,0,0,0,0,4,7,18,43,0,4,33,0,46,48,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,49,17,0,0,0,0,0,47,0,0,0,0,0,0,31
10,Harbaugh,John,2,Head Coach,Secondary,745,23,35,77,66,16,0,0,0,0,2,55,86,57,0,2,56,0,34,42,0
11,Mornhinweg,Marty,99,None,Quarterbacks,0,12,38,85,62,48,0,0,5,67,0,43,86,57,0,0,56,35,0,38,0
12,Pees,Dean,14,Head Coach,Linebackers,449,61,51,67,98,89,0,0,0,0,2,49,57,70,0,3,62,0,58,52,0
13,Rosburg,Jerry,2,Assistant Coach,Linebackers,294,79,76,35,69,38,0,0,0,0,2,30,52,64,0,3,52,0,53,63,0
14,Barnett,Juney,2,Strength Coordinator,Strength,144,0,0,0,0,0,52,73,0,0,0,0,0,39,0,2,0,0,0,0,61
15,McDermott,Sean,3,Head Coach,Secondary,597,9,72,49,15,34,0,0,0,0,3,77,49,45,0,2,36,0,46,48,0
16,Dennison,Rick,2,Offensive Coordinator,Offensive Linemen,394,56,92,60,18,77,0,0,3,64,0,41,86,61,0,3,55,65,0,69,0
17,Frazier,Leslie,21,Head Coach,Secondary,1178,58,93,97,97,61,0,0,0,0,3,36,67,60,0,3,77,0,59,68,0
18,Crossman,Danny,3,Defensive Coordinator,Secondary,219,48,51,57,37,72,0,0,0,0,3,64,14,52,0,3,43,0,53,44,0
