Year,Division,Place,Team,Wins,Losses,Ties,Note,Points_Scored,Points_Allowed,Conference_Wins,Conference_Losses,Conference_Ties,Division_Wins,Division_Losses,Division_Ties
2018,AC North,1,22,12,4,0,Won Division,403,309,8,4,0,5,1,0
2018,AC North,2,2,9,7,0,None,365,334,7,5,0,4,2,0
2018,AC North,3,30,7,9,0,None,335,405,5,7,0,3,3,0
2018,AC North,4,6,3,13,0,None,306,397,2,10,0,0,6,0
2018,AC South,1,28,14,2,0,Won Division,446,313,12,0,0,6,0,0
2018,AC South,2,11,10,6,0,Wild Card,314,316,7,5,0,4,2,0
2018,AC South,3,12,7,9,0,None,334,343,6,6,0,1,5,0
2018,AC South,4,31,6,10,0,None,321,366,5,7,0,1,5,0
2018,AC East,1,16,8,8,0,Won Division,379,342,7,5,0,5,1,0
2018,AC East,2,3,7,9,0,None,289,399,6,6,0,3,3,0
2018,AC East,3,14,5,11,0,None,334,397,4,8,0,2,4,0
2018,AC East,4,19,4,12,0,None,252,329,3,9,0,2,4,0
2018,AC West,1,13,12,4,0,Won Division,461,346,10,2,0,5,1,0
2018,AC West,2,8,9,7,0,Wild Card,312,336,6,6,0,2,4,0
2018,AC West,3,23,5,11,0,None,378,382,4,8,0,3,3,0
2018,AC West,4,20,5,11,0,None,326,452,4,8,0,2,4,0
2018,NC North,1,15,10,6,0,Won Division,335,263,7,5,0,5,1,0
2018,NC North,2,10,10,6,0,Wild Card,456,353,7,5,0,3,3,0
2018,NC North,3,9,8,8,0,None,371,369,6,6,0,4,2,0
2018,NC North,4,5,4,12,0,None,310,420,0,12,0,0,6,0
2018,NC South,1,17,11,5,0,Won Division,369,296,9,3,0,4,2,0
2018,NC South,2,27,9,7,0,None,310,306,7,5,0,2,4,0
2018,NC South,3,4,7,8,1,None,328,391,5,6,1,4,2,0
2018,NC South,4,1,7,9,0,None,400,356,6,6,0,2,4,0
2018,NC East,1,29,9,7,0,Won Division,384,388,6,6,0,3,3,0
2018,NC East,2,18,7,9,0,None,348,373,5,7,0,4,2,0
2018,NC East,3,7,7,9,0,None,367,364,5,7,0,3,3,0
2018,NC East,4,21,6,9,1,None,294,316,4,7,1,2,4,0
2018,NC West,1,26,12,4,0,Won Division,442,324,9,3,0,5,1,0
2018,NC West,2,24,11,5,0,Wild Card,435,311,9,3,0,4,2,0
2018,NC West,3,0,9,7,0,None,319,319,6,6,0,2,4,0
2018,NC West,4,25,5,11,0,None,346,454,4,8,0,1,5,0
2017,AC North,1,2,11,5,0,Won Division,407,339,10,2,0,5,1,0
2017,AC North,2,6,9,7,0,Wild Card,362,391,7,5,0,4,2,0
2017,AC North,3,30,4,12,0,None,264,334,4,8,0,2,4,0
2017,AC North,4,22,4,12,0,None,270,396,3,9,0,1,5,0
2017,AC South,1,31,9,6,1,Won Division,375,309,7,4,1,5,1,0
2017,AC South,2,11,8,8,0,None,284,335,5,7,0,2,4,0
2017,AC South,3,28,8,8,0,None,351,276,4,8,0,1,5,0
2017,AC South,4,12,6,9,1,None,361,363,6,6,0,4,2,0
2017,AC East,1,3,10,6,0,Won Division,374,290,8,4,0,5,1,0
2017,AC East,2,16,8,7,1,None,355,378,5,6,1,4,2,0
2017,AC East,3,19,7,9,0,None,292,364,6,6,0,3,3,0
2017,AC East,4,14,4,12,0,None,320,403,2,10,0,0,6,0
2017,AC West,1,13,12,4,0,Won Division,446,294,9,3,0,4,2,0
2017,AC West,2,20,10,6,0,Wild Card,385,317,8,4,0,4,2,0
2017,AC West,3,8,8,8,0,None,335,350,7,5,0,3,3,0
2017,AC West,4,23,5,11,0,None,220,337,4,8,0,1,5,0
2017,NC North,1,10,13,3,0,Won Division,461,317,9,3,0,6,0,0
2017,NC North,2,15,8,8,0,None,336,345,6,6,0,4,2,0
2017,NC North,3,9,5,11,0,None,392,405,2,10,0,2,4,0
2017,NC North,4,5,5,11,0,None,252,391,2,10,0,0,6,0
2017,NC South,1,17,10,6,0,Won Division,324,308,8,4,0,4,2,0
2017,NC South,2,4,9,7,0,Wild Card,384,302,7,5,0,3,3,0
2017,NC South,3,1,8,8,0,None,399,358,7,5,0,4,2,0
2017,NC South,4,27,7,9,0,None,346,409,4,8,0,1,5,0
2017,NC East,1,18,12,4,0,Won Division,419,331,9,3,0,6,0,0
2017,NC East,2,7,8,8,0,None,495,455,5,7,0,2,4,0
2017,NC East,3,29,7,9,0,None,380,405,5,7,0,2,4,0
2017,NC East,4,21,6,10,0,None,389,384,5,7,0,2,4,0
2017,NC West,1,26,12,3,1,Won Division,354,337,11,1,0,5,1,0
2017,NC West,2,24,11,5,0,Wild Card,346,262,9,3,0,5,1,0
2017,NC West,3,25,5,11,0,None,276,401,4,8,0,2,4,0
2017,NC West,4,0,5,11,0,None,283,351,3,9,0,0,6,0
