Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,41,2018,0,25
Points Scored,0,1,37,2017,0,9
Points Scored,0,2,34,2018,0,25
Points Scored,0,3,33,2017,0,12
Points Scored,0,4,33,2018,0,5
Points Scored,0,5,30,2017,0,7
Points Scored,0,6,30,2017,0,31
Points Scored,0,7,28,2018,0,9
Points Scored,0,8,25,2017,0,21
Points Scored,0,9,24,2017,0,11
Points Scored,0,10,24,2018,0,21
Points Scored,0,11,23,2017,0,27
Points Scored,0,12,23,2018,0,13
Points Scored,0,13,23,2018,0,20
Points Scored,0,14,21,2018,0,26
Points Scored,0,15,20,2018,0,23
Points Scored,0,16,17,2017,0,24
Points Scored,0,17,17,2018,0,26
Points Scored,0,18,16,2018,0,15
Points Scored,0,19,15,2017,0,26
Points Scored,0,20,13,2017,0,25
Points Scored,0,21,12,2017,0,29
Points Scored,0,22,10,2018,0,8
Points Scored,0,23,10,2018,0,24
Points Scored,0,24,9,2017,0,25
Points Scored,0,25,7,2018,0,10
Points Scored,0,26,6,2017,0,26
Points Scored,0,27,6,2017,0,18
Points Scored,0,28,6,2018,0,24
Points Scored,0,29,6,2018,0,27
Points Scored,0,30,3,2017,0,24
Points Allowed,0,0,10,2017,0,27
Points Allowed,0,1,10,2018,0,27
Points Allowed,0,2,13,2018,0,15
Points Allowed,0,3,13,2018,0,24
Points Allowed,0,4,14,2017,0,24
Points Allowed,0,5,14,2018,0,13
Points Allowed,0,6,14,2018,0,23
Points Allowed,0,7,17,2017,0,7
Points Allowed,0,8,17,2017,0,12
Points Allowed,0,9,17,2018,0,8
Points Allowed,0,10,17,2018,0,5
Points Allowed,0,11,17,2018,0,20
Points Allowed,0,12,19,2017,0,28
Points Allowed,0,13,20,2017,0,25
Points Allowed,0,14,20,2017,0,29
Points Allowed,0,15,20,2017,0,18
Points Allowed,0,16,20,2018,0,21
Points Allowed,0,17,21,2017,0,25
Points Allowed,0,18,22,2017,0,31
Points Allowed,0,19,22,2018,0,25
Points Allowed,0,20,23,2017,0,26
Points Allowed,0,21,23,2018,0,24
Points Allowed,0,22,23,2018,0,9
Points Allowed,0,23,24,2017,0,24
Points Allowed,0,24,24,2018,0,26
Points Allowed,0,25,27,2017,0,11
Points Allowed,0,26,27,2018,0,10
Points Allowed,0,27,27,2018,0,26
Points Allowed,0,28,29,2017,0,26
Points Allowed,0,29,30,2017,0,9
Points Allowed,0,30,38,2017,0,21
Points Allowed,0,31,38,2018,0,25
Passing Yards,0,0,354,2017,0,21
Passing Yards,0,1,284,2018,0,9
Passing Yards,0,2,281,2017,0,24
Passing Yards,0,3,272,2018,0,25
Passing Yards,0,4,263,2018,0,13
Passing Yards,0,5,253,2017,0,29
Passing Yards,0,6,252,2018,0,8
Passing Yards,0,7,249,2017,0,9
Passing Yards,0,8,248,2018,0,5
Passing Yards,0,9,246,2018,0,27
Passing Yards,0,10,244,2017,0,7
Passing Yards,0,11,240,2018,0,25
Passing Yards,0,12,239,2018,0,23
Passing Yards,0,13,235,2017,0,12
Passing Yards,0,14,223,2018,0,21
Passing Yards,0,15,222,2018,0,24
Passing Yards,0,16,220,2017,0,11
Passing Yards,0,17,202,2017,0,31
Passing Yards,0,18,201,2017,0,18
Passing Yards,0,19,200,2018,0,26
Passing Yards,0,20,199,2017,0,25
Passing Yards,0,21,195,2018,0,24
Passing Yards,0,22,187,2018,0,26
Passing Yards,0,23,183,2018,0,15
Passing Yards,0,24,181,2017,0,25
Passing Yards,0,25,172,2017,0,26
Passing Yards,0,26,162,2017,0,26
Passing Yards,0,27,160,2017,0,27
Passing Yards,0,28,118,2017,0,24
Passing Yards,0,29,106,2017,0,28
Passing Yards,0,30,97,2018,0,10
Passing Yards,0,31,80,2018,0,20
Passing Yards Allowed,0,0,121,2018,0,5
Passing Yards Allowed,0,1,134,2018,0,21
Passing Yards Allowed,0,2,172,2017,0,28
Passing Yards Allowed,0,3,190,2018,0,24
Passing Yards Allowed,0,4,191,2017,0,29
Passing Yards Allowed,0,5,192,2017,0,27
Passing Yards Allowed,0,6,201,2018,0,8
Passing Yards Allowed,0,7,201,2018,0,24
Passing Yards Allowed,0,8,204,2018,0,27
Passing Yards Allowed,0,9,214,2017,0,7
Passing Yards Allowed,0,10,219,2018,0,26
Passing Yards Allowed,0,11,237,2018,0,23
Passing Yards Allowed,0,12,238,2017,0,24
Passing Yards Allowed,0,13,239,2017,0,21
Passing Yards Allowed,0,14,246,2017,0,18
Passing Yards Allowed,0,15,249,2017,0,24
Passing Yards Allowed,0,16,253,2017,0,31
Passing Yards Allowed,0,17,256,2018,0,13
Passing Yards Allowed,0,18,261,2017,0,25
Passing Yards Allowed,0,19,263,2018,0,20
Passing Yards Allowed,0,20,265,2018,0,10
Passing Yards Allowed,0,21,268,2018,0,25
Passing Yards Allowed,0,22,270,2017,0,25
Passing Yards Allowed,0,23,277,2017,0,11
Passing Yards Allowed,0,24,281,2017,0,26
Passing Yards Allowed,0,25,285,2018,0,9
Passing Yards Allowed,0,26,289,2017,0,26
Passing Yards Allowed,0,27,299,2018,0,26
Passing Yards Allowed,0,28,309,2017,0,12
Passing Yards Allowed,0,29,347,2017,0,9
Passing Yards Allowed,0,30,363,2018,0,25
Passing Yards Allowed,0,31,374,2018,0,15
Rushing Yards,0,0,232,2017,0,25
Rushing Yards,0,1,204,2018,0,25
Rushing Yards,0,2,185,2017,0,11
Rushing Yards,0,3,176,2017,0,31
Rushing Yards,0,4,170,2018,0,23
Rushing Yards,0,5,167,2018,0,20
Rushing Yards,0,6,166,2018,0,26
Rushing Yards,0,7,165,2018,0,25
Rushing Yards,0,8,164,2017,0,7
Rushing Yards,0,9,159,2017,0,27
Rushing Yards,0,10,157,2017,0,26
Rushing Yards,0,11,146,2017,0,24
Rushing Yards,0,12,133,2017,0,9
Rushing Yards,0,13,129,2017,0,24
Rushing Yards,0,14,128,2018,0,21
Rushing Yards,0,15,119,2018,0,5
Rushing Yards,0,16,113,2018,0,26
Rushing Yards,0,17,113,2018,0,13
Rushing Yards,0,18,109,2017,0,29
Rushing Yards,0,19,98,2017,0,18
Rushing Yards,0,20,95,2018,0,24
Rushing Yards,0,21,91,2018,0,9
Rushing Yards,0,22,90,2017,0,21
Rushing Yards,0,23,84,2018,0,27
