Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,14,18,0,0,0,0,0,0,Retractable Roof/Grass,2006,63400,88,12000,Arizona,67,95,105,151,417,178000,365,0
1,15,17,0,0,0,0,0,0,Retractable Roof/Grass,2017,71000,180,7500,Atlanta,75,105,131,192,578,282000,1595,600
2,20,12,0,1,0,0,0,1,Outdoor/Artificial Turf,1998,71000,108,7900,Baltimore,55,115,127,197,556,216000,3486,800
3,17,15,0,1,0,0,2,1,Outdoor/Artificial Turf,1973,71600,164,10800,Buffalo,55,73,89,112,263,70000,1512,0
4,16,15,1,1,0,0,1,1,Outdoor/Natural Grass,1996,75400,158,11400,Carolina,79,93,152,215,593,225000,3262,537
5,9,23,0,0,0,0,0,0,Outdoor/Natural Grass,2003,61500,133,8600,Chicago,71,105,126,191,488,204000,285,0
6,12,20,0,1,0,0,0,1,Outdoor/Artificial Turf,2000,65500,114,7600,Cincinnati,52,83,101,137,302,120000,882,506
7,15,17,0,0,0,0,0,0,Retractable Roof/Grass,2009,80000,243,10000,Dallas,71,79,119,182,510,229000,258,0
8,17,15,0,1,0,0,0,1,Outdoor/Natural Grass,2001,76100,106,8800,Denver,60,120,134,204,603,247000,1090,0
9,13,19,0,0,0,0,0,0,Dome/Artificial Turf,2002,65000,120,8600,Detroit,69,85,110,170,425,173000,832,870
10,23,9,0,2,1,1,3,1,Outdoor/Natural Grass,1957,81400,166,6000,Green Bay,45,77,110,134,388,77000,452,0
11,18,14,0,1,0,0,0,1,Retractable Roof/Grass,2008,67000,149,7100,Indianapolis,57,82,117,162,465,204000,183,0
12,13,18,1,0,0,0,0,0,Outdoor/Natural Grass,1995,67200,75,11200,Jacksonville,42,66,73,87,201,76000,645,499
13,24,8,0,2,2,1,5,1,Outdoor/Natural Grass,1972,76400,80,10000,Kansas City,42,62,80,108,283,73000,2735,0
14,9,23,0,0,0,0,0,0,Outdoor/Natural Grass,1987,64800,216,10200,Miami,40,54,57,76,169,57000,2179,768
15,18,14,0,1,0,0,2,1,Dome/Artificial Turf,2016,66700,150,7500,Minnesota,46,90,110,164,427,204000,900,1640
16,16,15,1,1,0,0,1,1,Outdoor/Natural Grass,2002,66800,80,6000,New England,62,116,140,220,654,268000,427,250
17,21,11,0,2,0,0,0,2,Dome/Artificial Turf,1975,76500,137,15600,New Orleans,52,62,71,86,241,67000,432,0
18,19,13,0,1,0,0,0,1,Outdoor/Artificial Turf,2010,82500,218,10000,New York,73,99,120,193,518,232000,1494,700
19,11,21,0,0,0,0,0,0,Outdoor/Artificial Turf,2010,82500,218,10000,New Jersey,66,83,108,175,407,182000,347,0
20,15,17,0,1,0,0,1,1,Outdoor/Natural Grass,1966,53300,143,6300,Oakland,42,68,96,152,285,65000,398,161
21,12,19,1,0,0,0,0,0,Outdoor/Natural Grass,2003,69600,172,10800,Philadelphia,77,115,141,217,601,252000,1208,184
22,16,16,0,1,0,0,1,1,Outdoor/Natural Grass,2001,68400,127,6600,Pittsburgh,59,74,108,148,407,166000,3888,445
23,10,22,0,0,0,0,0,0,Outdoor/Natural Grass,2003,30000,40,3000,California,64,76,94,139,286,119000,2305,866
24,22,10,0,2,0,0,1,2,Outdoor/Artificial Turf,2002,68000,82,7700,Seattle,58,125,131,201,603,246000,1777,469
25,10,22,0,0,0,0,0,0,Outdoor/Natural Grass,2014,68500,176,7500,San Francisco,48,106,112,177,487,228000,411,0
26,24,7,1,2,1,0,3,2,Outdoor/Natural Grass,1923,80000,10,6300,Los Angeles,47,65,68,101,213,42000,81,0
27,16,16,0,0,0,0,0,0,Outdoor/Natural Grass,1998,65900,197,12000,Tampa Bay,38,56,64,70,146,56000,290,288
28,22,10,0,1,0,0,1,1,Outdoor/Natural Grass,1999,69100,156,12000,Tennessee,57,66,98,135,334,133000,1033,453
29,16,16,0,1,0,0,1,1,Outdoor/Natural Grass,1997,82000,280,15000,Washington,48,89,113,176,419,163000,1531,637
30,11,21,0,0,0,0,0,0,Outdoor/Natural Grass,1999,67900,151,8600,Cleveland,46,68,80,112,224,89000,442,0
31,15,16,1,1,0,0,0,1,Retractable Roof/Grass,2002,72200,165,7500,Houston,67,95,101,156,438,179000,195,0
