Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,2,0,22,2017,2,3
Points Allowed,2,0,24,2017,2,3
Passing Yards,2,0,229,2017,2,3
Passing Yards Allowed,2,0,152,2017,2,3
Rushing Yards,2,0,198,2017,2,3
Rushing Yards Allowed,2,0,186,2017,2,3
Total Yards,2,0,413,2017,2,3
Total Yards Allowed,2,0,327,2017,2,3
Pass Attempts,2,0,36,2017,2,3
Rush Attempts,2,0,32,2017,2,3
Points Scored,3,0,29,2017,3,6
Points Scored,3,1,24,2017,3,2
Points Scored,3,2,17,2017,3,13
Points Allowed,3,0,0,2017,3,6
Points Allowed,3,1,22,2017,3,2
Points Allowed,3,2,30,2017,3,13
Passing Yards,3,0,187,2017,3,13
Passing Yards,3,1,176,2017,3,6
Passing Yards,3,2,152,2017,3,2
Passing Yards Allowed,3,0,198,2017,3,6
Passing Yards Allowed,3,1,226,2017,3,13
Passing Yards Allowed,3,2,229,2017,3,2
Rushing Yards,3,0,186,2017,3,2
Rushing Yards,3,1,180,2017,3,6
Rushing Yards,3,2,101,2017,3,13
Rushing Yards Allowed,3,0,51,2017,3,6
Rushing Yards Allowed,3,1,141,2017,3,13
Rushing Yards Allowed,3,2,198,2017,3,2
Total Yards,3,0,352,2017,3,6
Total Yards,3,1,327,2017,3,2
Total Yards,3,2,255,2017,3,13
Total Yards Allowed,3,0,214,2017,3,6
Total Yards Allowed,3,1,362,2017,3,13
Total Yards Allowed,3,2,413,2017,3,2
Pass Attempts,3,0,33,2017,3,13
Pass Attempts,3,1,24,2017,3,2
Pass Attempts,3,2,23,2017,3,6
Rush Attempts,3,0,35,2017,3,6
Rush Attempts,3,1,34,2017,3,2
Rush Attempts,3,2,26,2017,3,13
Points Scored,4,0,26,2017,4,18
Points Scored,4,1,18,2017,4,10
Points Allowed,4,0,20,2017,4,18
Points Allowed,4,1,26,2017,4,10
Passing Yards,4,0,252,2017,4,10
Passing Yards,4,1,228,2017,4,18
