Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,199,2018,0
Points Scored,0,1,176,2017,0
Points Allowed,0,0,199,2018,0
Points Allowed,0,1,219,2017,0
Passing Yards,0,0,2144,2018,0
Passing Yards,0,1,2085,2017,0
Passing Yards Allowed,0,0,2425,2018,0
Passing Yards Allowed,0,1,2517,2017,0
Rushing Yards,0,0,1266,2017,0
Rushing Yards,0,1,1153,2018,0
Rushing Yards Allowed,0,0,1076,2018,0
Rushing Yards Allowed,0,1,1120,2017,0
Total Yards,0,0,3351,2017,0
Total Yards,0,1,3298,2018,0
Total Yards Allowed,0,0,3501,2018,0
Total Yards Allowed,0,1,3637,2017,0
Pass Attempts,0,0,348,2018,0
Pass Attempts,0,1,328,2017,0
Rush Attempts,0,0,266,2017,0
Rush Attempts,0,1,258,2018,0
Points Scored,1,0,250,2018,1
Points Scored,1,1,249,2017,1
Points Allowed,1,0,222,2018,1
Points Allowed,1,1,223,2017,1
Passing Yards,1,0,2975,2018,1
Passing Yards,1,1,2666,2017,1
Passing Yards Allowed,1,0,2358,2018,1
Passing Yards Allowed,1,1,2533,2017,1
Rushing Yards,1,0,1144,2017,1
Rushing Yards,1,1,1142,2018,1
Rushing Yards Allowed,1,0,1064,2018,1
Rushing Yards Allowed,1,1,1308,2017,1
Total Yards,1,0,4118,2018,1
Total Yards,1,1,3811,2017,1
Total Yards Allowed,1,0,3423,2018,1
Total Yards Allowed,1,1,3842,2017,1
Pass Attempts,1,0,399,2018,1
Pass Attempts,1,1,368,2017,1
Rush Attempts,1,0,277,2018,1
Rush Attempts,1,1,260,2017,1
Points Scored,2,0,254,2017,2
Points Scored,2,1,228,2018,2
Points Allowed,2,0,208,2018,2
Points Allowed,2,1,211,2017,2
Passing Yards,2,0,2988,2017,2
Passing Yards,2,1,2699,2018,2
Passing Yards Allowed,2,0,2424,2018,2
Passing Yards Allowed,2,1,2455,2017,2
Rushing Yards,2,0,985,2018,2
Rushing Yards,2,1,806,2017,2
Rushing Yards Allowed,2,0,1034,2018,2
Rushing Yards Allowed,2,1,1185,2017,2
Total Yards,2,0,3795,2017,2
Total Yards,2,1,3685,2018,2
Total Yards Allowed,2,0,3458,2018,2
Total Yards Allowed,2,1,3641,2017,2
Pass Attempts,2,0,386,2017,2
Pass Attempts,2,1,384,2018,2
Rush Attempts,2,0,256,2018,2
Rush Attempts,2,1,255,2017,2
Points Scored,3,0,233,2017,3
Points Scored,3,1,180,2018,3
Points Allowed,3,0,181,2017,3
Points Allowed,3,1,249,2018,3
Passing Yards,3,0,2553,2017,3
Passing Yards,3,1,2365,2018,3
Passing Yards Allowed,3,0,2215,2017,3
Passing Yards Allowed,3,1,2488,2018,3
Rushing Yards,3,0,1311,2018,3
Rushing Yards,3,1,1073,2017,3
Rushing Yards Allowed,3,0,874,2018,3
Rushing Yards Allowed,3,1,1090,2017,3
Total Yards,3,0,3677,2018,3
Total Yards,3,1,3626,2017,3
Total Yards Allowed,3,0,3305,2017,3
Total Yards Allowed,3,1,3363,2018,3
Pass Attempts,3,0,329,2018,3
Pass Attempts,3,1,313,2017,3
Rush Attempts,3,0,299,2017,3
Rush Attempts,3,1,298,2018,3
Points Scored,4,0,240,2017,4
Points Scored,4,1,205,2018,4
Points Allowed,4,0,188,2017,4
Points Allowed,4,1,244,2018,4
Passing Yards,4,0,2417,2017,4
Passing Yards,4,1,2320,2018,4
Passing Yards Allowed,4,0,2446,2017,4
Passing Yards Allowed,4,1,2633,2018,4
Rushing Yards,4,0,1572,2017,4
Rushing Yards,4,1,961,2018,4
Rushing Yards Allowed,4,0,918,2017,4
Rushing Yards Allowed,4,1,1088,2018,4
Total Yards,4,0,3990,2017,4
Total Yards,4,1,3281,2018,4
Total Yards Allowed,4,0,3365,2017,4
Total Yards Allowed,4,1,3721,2018,4
Pass Attempts,4,0,358,2017,4
Pass Attempts,4,1,338,2018,4
Rush Attempts,4,0,303,2017,4
Rush Attempts,4,1,263,2018,4
Points Scored,5,0,193,2018,5
Points Scored,5,1,157,2017,5
Points Allowed,5,0,244,2017,5
Points Allowed,5,1,262,2018,5
Passing Yards,5,0,2135,2017,5
Passing Yards,5,1,2088,2018,5
Passing Yards Allowed,5,0,2266,2018,5
Passing Yards Allowed,5,1,2286,2017,5
Rushing Yards,5,0,1286,2018,5
Rushing Yards,5,1,1043,2017,5
Rushing Yards Allowed,5,0,1145,2017,5
Rushing Yards Allowed,5,1,1319,2018,5
Total Yards,5,0,3375,2018,5
Total Yards,5,1,3178,2017,5
Total Yards Allowed,5,0,3431,2017,5
Total Yards Allowed,5,1,3585,2018,5
Pass Attempts,5,0,381,2017,5
Pass Attempts,5,1,368,2018,5
Rush Attempts,5,0,281,2017,5
Rush Attempts,5,1,259,2018,5
Points Scored,6,0,226,2017,6
Points Scored,6,1,191,2018,6
Points Allowed,6,0,244,2017,6
Points Allowed,6,1,248,2018,6
Passing Yards,6,0,2534,2017,6
Passing Yards,6,1,2236,2018,6
Passing Yards Allowed,6,0,2420,2018,6
Passing Yards Allowed,6,1,2492,2017,6
Rushing Yards,6,0,1294,2018,6
Rushing Yards,6,1,1058,2017,6
Rushing Yards Allowed,6,0,1028,2018,6
Rushing Yards Allowed,6,1,1101,2017,6
Total Yards,6,0,3593,2017,6
Total Yards,6,1,3531,2018,6
Total Yards Allowed,6,0,3448,2018,6
Total Yards Allowed,6,1,3593,2017,6
Pass Attempts,6,0,373,2017,6
Pass Attempts,6,1,349,2018,6
Rush Attempts,6,0,273,2018,6
Rush Attempts,6,1,248,2017,6
Points Scored,7,0,309,2017,7
Points Scored,7,1,229,2018,7
Points Allowed,7,0,227,2018,7
Points Allowed,7,1,284,2017,7
Passing Yards,7,0,2986,2017,7
Passing Yards,7,1,2772,2018,7
Passing Yards Allowed,7,0,2621,2018,7
Passing Yards Allowed,7,1,2679,2017,7
Rushing Yards,7,0,1626,2017,7
Rushing Yards,7,1,1039,2018,7
Rushing Yards Allowed,7,0,1058,2018,7
Rushing Yards Allowed,7,1,1322,2017,7
Total Yards,7,0,4613,2017,7
Total Yards,7,1,3811,2018,7
Total Yards Allowed,7,0,3680,2018,7
Total Yards Allowed,7,1,4001,2017,7
Pass Attempts,7,0,380,2017,7
Pass Attempts,7,1,363,2018,7
Rush Attempts,7,0,296,2017,7
Rush Attempts,7,1,250,2018,7
Points Scored,8,0,209,2017,8
Points Scored,8,1,195,2018,8
Points Allowed,8,0,210,2018,8
Points Allowed,8,1,218,2017,8
Passing Yards,8,0,2395,2018,8
Passing Yards,8,1,2253,2017,8
Passing Yards Allowed,8,0,2196,2017,8
Passing Yards Allowed,8,1,2563,2018,8
Rushing Yards,8,0,1071,2018,8
Rushing Yards,8,1,1030,2017,8
Rushing Yards Allowed,8,0,868,2018,8
Rushing Yards Allowed,8,1,1221,2017,8
Total Yards,8,0,3467,2018,8
Total Yards,8,1,3283,2017,8
Total Yards Allowed,8,0,3417,2017,8
Total Yards Allowed,8,1,3431,2018,8
Pass Attempts,8,0,353,2018,8
Pass Attempts,8,1,340,2017,8
Rush Attempts,8,0,266,2017,8
Rush Attempts,8,1,263,2018,8
Points Scored,9,0,245,2017,9
Points Scored,9,1,231,2018,9
Points Allowed,9,0,230,2018,9
Points Allowed,9,1,253,2017,9
Passing Yards,9,0,2890,2017,9
Passing Yards,9,1,2526,2018,9
Passing Yards Allowed,9,0,2494,2017,9
Passing Yards Allowed,9,1,2677,2018,9
Rushing Yards,9,0,1257,2018,9
Rushing Yards,9,1,1045,2017,9
Rushing Yards Allowed,9,0,1096,2018,9
Rushing Yards Allowed,9,1,1139,2017,9
Total Yards,9,0,3936,2017,9
Total Yards,9,1,3784,2018,9
Total Yards Allowed,9,0,3633,2017,9
Total Yards Allowed,9,1,3773,2018,9
Pass Attempts,9,0,395,2017,9
Pass Attempts,9,1,336,2018,9
Rush Attempts,9,0,277,2018,9
Rush Attempts,9,1,249,2017,9
Points Scored,10,0,288,2017,10
Points Scored,10,1,285,2018,10
Points Allowed,10,0,198,2017,10
Points Allowed,10,1,220,2018,10
Passing Yards,10,0,2580,2017,10
Passing Yards,10,1,2366,2018,10
Passing Yards Allowed,10,0,2366,2017,10
Passing Yards Allowed,10,1,2538,2018,10
Rushing Yards,10,0,1378,2018,10
Rushing Yards,10,1,1367,2017,10
Rushing Yards Allowed,10,0,1080,2017,10
Rushing Yards Allowed,10,1,1128,2018,10
Total Yards,10,0,3947,2017,10
Total Yards,10,1,3745,2018,10
Total Yards Allowed,10,0,3446,2017,10
Total Yards Allowed,10,1,3666,2018,10
Pass Attempts,10,0,333,2018,10
Pass Attempts,10,1,323,2017,10
Rush Attempts,10,0,303,2017,10
Rush Attempts,10,1,289,2018,10
Points Scored,11,0,196,2018,11
Points Scored,11,1,177,2017,11
