Year,Team_ID,Unit,Games,Rushes,Rushing_Yards,Pass_Attempts,Completions,Passing_Yards,Fumbles_Lost,Intercepted,Third_Down_Conversions,Third_Down_Attempts,Touchdowns,Points_Scored,Penalties,Penalty_Yards,Red_Zone_Visits,Red_Zone_Touchdowns,Red_Zone_Field_Goals,Sacks,Runs_Left,Runs_Left_Yardage,Runs_Center,Runs_Center_Yardage,Runs_Right,Runs_Right_Yardage,Short_Passes,Short_Pass_Completions,Short_Pass_Yardage,Medium_Passes,Medium_Pass_Completions,Medium_Pass_Yardage,Long_Passes,Long_Pass_Completions,Long_Pass_Yardage,Fourth_Down_Attempts,Fourth_Down_Conversions,Third_Down_YtG_Total,Sack_Yardage,Fumbles,Red_Zone_Rushes,Red_Zone_Rushing_Yardage,Red_Zone_Passes,Red_Zone_Pass_Completions,Red_Zone_Passing_Yardage,First_Downs_Rushing,First_Downs_Passing,First_Downs_Penalty,Punts,Punting_Yardage,Punting_Net_Yardage,Punt_Returns,Punt_Return_Yardage,Kickoff_Returns,Kickoff_Return_Yardage,Field_Goals,Field_Goals_Attempted,Points_After_Touchdown,PATs_Attempted,Two-Point_Conversion_Attempts,Two-Point_Conversions,Passes_Defensed,Key_Run_Blocks,Key_Run_Block_Opportunities,Hurries,Blocked_Passes,Run_Plays,Pass_Plays,Touchdowns_Passing,Touchdowns_Rushing,Passes_Dropped
2018,0,Offense,16,413,1846,557,325,3431,5,12,64,219,32,319,130,861,41,23,15,43,59,272,241,1019,104,567,358,230,1869,152,79,1150,45,16,412,7,15,1871,281,15,49,129,58,31,286,97,161,18,108,4761,4176,42,505,32,769,23,26,34,36,0,0,78,119,353,57,17,413,600,19,11,27
2018,0,Defense,16,429,1723,611,385,3880,9,20,89,238,33,319,89,645,50,26,18,35,71,314,237,938,114,481,403,286,2280,164,86,1249,43,13,351,6,10,1877,222,22,56,117,81,44,322,88,193,34,98,4525,3774,48,185,29,617,25,29,34,34,1,0,73,124,386,78,16,429,646,25,8,29
2018,1,Offense,16,444,1828,639,406,4761,8,6,101,235,45,400,124,990,59,34,19,26,91,442,224,941,123,454,426,307,2958,163,85,1319,49,14,484,7,16,1998,181,14,65,188,74,44,327,112,219,14,87,3964,3231,36,210,29,674,24,30,42,45,2,2,65,164,421,42,11,444,665,31,13,40
2018,1,Defense,16,411,1703,505,324,3774,15,13,72,203,37,356,90,628,44,23,16,45,88,369,224,975,92,367,307,221,1875,139,76,1061,57,27,838,2,9,1803,286,26,47,87,50,36,265,99,164,23,84,3745,3355,33,253,29,739,23,25,39,40,1,1,89,123,363,67,14,411,550,24,8,26
2018,2,Offense,16,410,1577,615,419,4319,6,17,77,218,35,365,98,704,60,30,24,27,50,157,287,1144,61,292,378,278,2114,175,115,1531,57,26,674,2,6,1710,165,13,72,195,93,54,359,86,211,20,80,3841,3331,43,231,32,821,38,47,35,36,0,0,63,129,384,65,15,410,642,17,16,28
2018,2,Defense,16,410,1655,572,363,3879,6,11,84,227,35,334,118,804,42,23,17,29,90,342,220,915,97,401,362,258,2114,156,83,1207,53,22,558,3,8,1944,167,10,53,150,51,28,241,85,192,16,98,4411,3800,40,170,33,753,25,32,33,35,2,2,53,123,366,57,14,410,601,24,11,34
2018,3,Offense,16,478,2099,527,340,3785,8,13,86,232,31,289,148,1062,42,24,17,39,43,199,287,1356,138,554,341,242,2132,131,74,939,54,24,714,2,12,1863,229,18,43,110,54,32,270,106,170,14,89,3701,3247,38,209,43,756,24,35,29,30,1,1,51,136,391,73,14,478,566,23,8,25
2018,3,Defense,16,385,1399,547,355,3982,8,9,70,202,41,399,96,688,52,28,19,32,72,291,227,916,80,199,356,248,2155,133,83,1098,56,24,729,2,6,1630,183,15,62,170,70,42,353,81,189,20,88,3890,3361,40,334,26,552,31,35,40,43,1,1,53,120,352,61,11,385,579,27,10,25
2018,4,Offense,16,421,1538,542,340,3712,8,7,81,226,32,328,107,737,47,24,18,43,79,257,234,836,101,455,346,237,2049,147,83,1092,46,20,571,5,16,2007,292,16,61,157,67,41,223,81,176,19,96,4259,3649,37,255,35,892,22,29,34,38,0,0,67,113,373,65,13,421,585,22,9,41
2018,4,Defense,16,449,1742,548,344,4213,9,15,91,228,41,391,91,673,48,25,20,35,71,357,275,1030,99,359,349,246,2351,136,69,1034,62,29,828,3,10,1991,195,22,52,166,54,27,144,105,176,16,86,3743,3248,45,330,38,984,30,34,37,39,4,3,58,120,393,66,15,449,583,25,15,20
2018,5,Offense,16,415,2058,589,325,3342,11,23,87,222,31,310,86,587,49,24,18,29,37,243,308,1459,68,359,329,218,1812,204,98,1309,52,9,221,0,9,1675,194,25,49,216,69,36,198,101,165,29,84,3708,3106,32,308,27,647,29,35,31,32,0,0,48,141,363,56,8,415,618,18,10,29
