Year,Team,Playoff_Performance,Average_Attendance,Percent_of_Capacity_(of_1000),TV_Contract_(all_money_is_in_thousands),Ticket_Revenue,Suite_Revenue,Salary_Cost,Bonuses,Concessions,Parking,Advertising,Staff_Cost,Maintenance,Stadium_Payments,Overall_Performance,Franchise_Value,Profit,Season_Tickets_Sold,Capacity,Top_Quarterback,Top_Rusher,Top_Receiver,Top_Tackler,Coach,Quarterback_Passing_Yardage,Rusher_Yardage,Receiver_Yardage,Tackles
2018,0,None,59800,943,68920,85630,35590,108270,59350,10410,1540,32340,31350,6650,0,60,920080,28920,53400,63400,499,597,223,606,88,2252,635,589,124
2018,1,None,70900,998,68920,105150,119710,82070,82620,16080,4250,47760,15600,7450,0,76,1302580,174130,68300,71000,123,764,767,1289,5,4761,1082,1541,100
2018,2,None,69300,976,68920,101330,53900,78290,57660,15040,5930,38220,25740,8610,0,64,944200,113040,61100,71000,624,890,188,1293,10,3542,1079,795,113
2018,3,None,59800,835,68920,62640,27130,106550,57650,8640,2930,18730,20090,7280,0,50,789130,-2580,48900,71600,366,370,436,64,15,3122,655,1110,91
2018,4,None,74700,990,68920,131310,90270,84980,54480,26700,2820,46390,26500,8550,0,77,1319810,191900,67100,75400,340,1674,977,833,20,3248,640,686,90
2018,5,None,55900,908,68920,87410,63190,81450,75380,15620,1760,37210,23540,6730,0,54,1133730,87010,49400,61500,1790,1273,517,501,67,3165,967,658,115
2018,6,None,46900,716,68920,56810,31230,93920,61030,10520,4840,24980,15760,5640,0,44,839100,20950,41900,65500,302,537,1750,397,30,3486,1065,1200,96
2018,7,None,79100,988,68920,110430,131220,96960,26760,12810,9280,39490,20130,8450,0,79,1247450,219850,72500,80000,1845,1223,687,1766,35,3548,1042,1317,112
2018,8,Wild Card,76000,998,68920,115040,60490,108650,43120,17760,6780,42740,11300,8750,0,71,1082040,139910,70500,76100,1323,527,1594,705,40,3742,852,780,99
2018,9,None,59800,920,68920,81810,49480,86670,65030,10570,4980,29440,24330,7130,0,59,858050,62040,48000,65000,182,903,753,1737,280,3948,850,820,106
2018,10,Wild Card,81300,998,68920,84220,31040,90630,66340,12170,2200,27130,33920,11530,0,67,1068260,23260,74100,81400,39,1629,696,1228,228,3368,988,1466,86
2018,11,Wild Card,66700,995,68920,89270,77630,112190,48830,10620,1980,40310,15460,8650,0,71,1044130,103600,62300,67000,464,503,435,1581,55,3178,687,1187,80
2018,12,None,54300,808,68920,54170,13330,111000,61280,4940,3090,17170,14710,5920,0,49,775350,-31290,43700,67200,714,1016,785,1716,31,3140,858,1086,86
2018,13,Champion,72400,947,68920,96210,17870,69140,95320,6740,3900,20370,29050,9300,0,72,957980,11200,58700,76400,40,1615,899,198,65,2885,1929,859,91
2018,14,None,47400,731,68920,38230,27530,80040,87380,1610,2690,12610,9770,5970,0,39,616830,-31570,41100,64800,3216,905,1067,525,12,3585,1034,1070,90
2018,15,Conference,63700,955,68920,86950,81070,113770,69480,9820,1890,33810,22410,7310,0,68,859770,69490,52700,66700,592,1514,352,1023,185,3041,609,1375,122
