Stage,Year,Player_ID,Transaction,Team,Position_Group,Money,Years/Original_Position,Original_Team/Destination_Position/Misc.
Pre-Training Camp,2017,2242,signed as a free agent,3,ILB,47,1,0
Pre-Training Camp,2017,2423,signed as a free agent,3,RB,47,1,0
Pre-Training Camp,2017,3083,signed as a free agent,3,CB,47,1,0
Pre-Training Camp,2017,2304,signed as a free agent,3,CB,47,1,0
Pre-Training Camp,2017,1946,signed as a free agent,3,TE,47,1,0
Pre-Training Camp,2017,2968,signed as a free agent,3,ILB,47,1,0
Pre-Training Camp,2017,2771,signed as a free agent,3,T,47,1,0
Pre-Training Camp,2017,3080,signed as a free agent,26,CB,47,1,0
Pre-Training Camp,2017,2427,signed as a free agent,26,RB,47,1,0
Pre-Training Camp,2017,2765,signed as a free agent,26,T,47,1,0
Pre-Training Camp,2017,2180,signed as a free agent,26,DT,47,1,0
Pre-Training Camp,2017,2648,signed as a free agent,21,C,47,1,0
Pre-Training Camp,2017,2982,signed as a free agent,6,ILB,47,1,0
Pre-Training Camp,2017,1938,signed as a free agent,6,FB,47,1,0
Pre-Training Camp,2017,2010,signed as a free agent,6,T,47,1,0
Pre-Training Camp,2017,3101,signed as a free agent,18,CB,47,1,0
Pre-Training Camp,2017,2451,signed as a free agent,18,FB,47,1,0
Pre-Training Camp,2017,2963,signed as a free agent,18,ILB,47,1,0
Pre-Training Camp,2017,1984,signed as a free agent,18,WR,47,1,0
Pre-Training Camp,2017,2489,signed as a free agent,18,TE,47,1,0
Pre-Training Camp,2017,1939,signed as a free agent,27,FB,47,1,0
Pre-Training Camp,2017,2538,signed as a free agent,27,WR,47,1,0
Pre-Training Camp,2017,2715,signed as a free agent,27,T,47,1,0
Pre-Training Camp,2017,2295,signed as a free agent,27,CB,47,1,0
Pre-Training Camp,2017,2230,signed as a free agent,27,ILB,47,1,0
Pre-Training Camp,2017,2064,signed as a free agent,27,G,47,1,0
Pre-Training Camp,2017,2746,signed as a free agent,8,T,47,1,0
Pre-Training Camp,2017,3059,signed as a free agent,8,CB,47,1,0
Pre-Training Camp,2017,3171,signed as a free agent,8,S,47,1,0
Pre-Training Camp,2017,1920,signed as a free agent,11,FB,47,1,0
Pre-Training Camp,2017,2130,signed as a free agent,11,DT,47,1,0
Pre-Training Camp,2017,2527,signed as a free agent,11,TE,47,1,0
Pre-Training Camp,2017,2564,signed as a free agent,11,WR,47,1,0
Pre-Training Camp,2017,2847,signed as a free agent,11,DE,47,1,0
Pre-Training Camp,2017,2907,signed as a free agent,11,DT,47,1,0
Pre-Training Camp,2017,2742,signed as a free agent,13,T,47,1,0
Pre-Training Camp,2017,2184,signed as a free agent,13,DT,47,1,0
Pre-Training Camp,2017,2458,signed as a free agent,14,FB,47,1,0
Pre-Training Camp,2017,2717,signed as a free agent,14,T,47,1,0
Pre-Training Camp,2017,1768,released,14,S,0,0,0
Pre-Training Camp,2017,3075,signed as a free agent,23,CB,47,1,0
Pre-Training Camp,2017,2628,signed as a free agent,23,C,47,1,0
Pre-Training Camp,2017,2923,signed as a free agent,28,DT,47,1,0
Pre-Training Camp,2017,626,released,28,ILB,0,0,0
Pre-Training Camp,2017,2442,signed as a free agent,22,RB,47,1,0
Pre-Training Camp,2017,2499,signed as a free agent,22,TE,47,1,0
Pre-Training Camp,2017,2145,signed as a free agent,22,DT,47,1,0
Pre-Training Camp,2017,2196,signed as a free agent,22,DT,47,1,0
Pre-Training Camp,2017,2159,signed as a free agent,22,DT,47,1,0
Pre-Training Camp,2017,2433,signed as a free agent,30,RB,47,1,0
Pre-Training Camp,2017,2463,signed as a free agent,0,FB,47,1,0
Pre-Training Camp,2017,3089,signed as a free agent,0,CB,47,1,0
