Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2019,7,retired,4,DE,0,0,0
Pre-Staff Draft,2019,14,retired,7,TE,0,0,0
Pre-Staff Draft,2019,25,retired,14,QB,0,0,0
Pre-Staff Draft,2019,33,retired,2,C,0,0,0
Pre-Staff Draft,2019,40,retired,13,QB,0,0,0
Pre-Staff Draft,2019,47,retired,10,G,0,0,0
Pre-Staff Draft,2019,51,retired,29,CB,0,0,0
Pre-Staff Draft,2019,56,retired,8,DT,0,0,0
Pre-Staff Draft,2019,63,retired,0,DT,0,0,0
Pre-Staff Draft,2019,65,retired,0,S,0,0,0
Pre-Staff Draft,2019,77,retired,18,OLB,0,0,0
Pre-Staff Draft,2019,78,retired,3,G,0,0,0
Pre-Staff Draft,2019,79,retired,4,DE,0,0,0
Pre-Staff Draft,2019,80,retired,6,CB,0,0,0
Pre-Staff Draft,2019,82,retired,17,FB,0,0,0
Pre-Staff Draft,2019,85,retired,4,TE,0,0,0
Pre-Staff Draft,2019,95,retired,2,G,0,0,0
Pre-Staff Draft,2019,103,retired,17,RB,0,0,0
Pre-Staff Draft,2019,106,retired,19,RB,0,0,0
Pre-Staff Draft,2019,130,retired,8,CB,0,0,0
Pre-Staff Draft,2019,140,retired,10,S,0,0,0
Pre-Staff Draft,2019,148,retired,14,CB,0,0,0
Pre-Staff Draft,2019,215,retired,29,C,0,0,0
Pre-Staff Draft,2019,232,retired,24,RB,0,0,0
Pre-Staff Draft,2019,682,retired,22,S,0,0,0
Pre-Staff Draft,2019,1294,retired,31,OLB,0,0,0
Pre-Staff Draft,2019,120,retired as head coach,24,0,0,0,0
Pre-Staff Draft,2019,142,retired as defensive coordinator,28,0,0,0,0
Pre-Staff Draft,2019,4,re-signed as strength coordinator,0,0,0,0,0
Pre-Staff Draft,2019,5,re-signed as head coach,1,0,0,0,0
Pre-Staff Draft,2019,24,re-signed as strength coordinator,4,0,0,0,0
Pre-Staff Draft,2019,40,re-signed as head coach,8,0,0,0,0
Pre-Staff Draft,2019,41,re-signed as offensive coordinator,8,0,0,0,0
Pre-Staff Draft,2019,59,re-signed as strength coordinator,11,0,0,0,0
Pre-Staff Draft,2019,128,re-signed as assistant coach,25,0,0,0,0
Pre-Staff Draft,2019,138,re-signed as assistant coach,27,0,0,0,0
Pre-Staff Draft,2019,147,re-signed as defensive coordinator,29,0,0,0,0
Staff Draft,2019,20,hired as head coach,4,0,0,0,0
Staff Draft,2019,90,hired as head coach,18,0,0,0,0
Staff Draft,2019,242,hired as head coach,19,0,0,0,0
