Information,Value/Round/Position,Value/Team/Position,Value/Team
Game Stage,FA Stage 1
Salary Cap (in tens of thousands),17760
Minimum Salary (in thousands),50
Draft Order,1,1,6
Draft Order,1,2,19
Draft Order,1,3,5
Draft Order,1,4,14
Draft Order,1,5,23
Draft Order,1,6,20
Draft Order,1,7,25
Draft Order,1,8,31
Draft Order,1,9,21
Draft Order,1,10,3
Draft Order,1,11,1
Draft Order,1,12,12
Draft Order,1,13,30
Draft Order,1,14,7
Draft Order,1,15,18
Draft Order,1,16,4
Draft Order,1,17,9
Draft Order,1,18,2
Draft Order,1,19,27
Draft Order,1,20,0
Draft Order,1,21,8
Draft Order,1,22,11
Draft Order,1,23,10
Draft Order,1,24,24
Draft Order,1,25,16
Draft Order,1,26,29
Draft Order,1,27,17
Draft Order,1,28,22
Draft Order,1,29,15
Draft Order,1,30,28
Draft Order,1,31,26
Draft Order,1,32,13
Draft Order,2,1,6
Draft Order,2,2,5
Draft Order,2,3,19
Draft Order,2,4,23
Draft Order,2,5,20
Draft Order,2,6,25
Draft Order,2,7,14
Draft Order,2,8,31
Draft Order,2,9,21
Draft Order,2,10,1
Draft Order,2,11,12
Draft Order,2,12,30
Draft Order,2,13,7
Draft Order,2,14,18
Draft Order,2,15,3
Draft Order,2,16,4
Draft Order,2,17,9
Draft Order,2,18,27
Draft Order,2,19,0
Draft Order,2,20,2
Draft Order,2,21,8
Draft Order,2,22,10
Draft Order,2,23,11
Draft Order,2,24,24
Draft Order,2,25,16
Draft Order,2,26,29
Draft Order,2,27,17
Draft Order,2,28,22
Draft Order,2,29,15
Draft Order,2,30,28
Draft Order,2,31,26
Draft Order,2,32,13
Draft Order,3,1,6
Draft Order,3,2,19
Draft Order,3,3,5
Draft Order,3,4,20
Draft Order,3,5,25
Draft Order,3,6,14
Draft Order,3,7,23
Draft Order,3,8,31
Draft Order,3,9,21
Draft Order,3,10,12
Draft Order,3,11,30
Draft Order,3,12,7
Draft Order,3,13,18
Draft Order,3,14,3
Draft Order,3,15,1
Draft Order,3,16,4
Draft Order,3,17,9
Draft Order,3,18,0
Draft Order,3,19,2
Draft Order,3,20,27
Draft Order,3,21,8
Draft Order,3,22,11
Draft Order,3,23,10
Draft Order,3,24,24
Draft Order,3,25,16
Draft Order,3,26,29
Draft Order,3,27,17
Draft Order,3,28,22
Draft Order,3,29,15
Draft Order,3,30,28
Draft Order,3,31,26
Draft Order,3,32,13
Draft Order,4,1,6
Draft Order,4,2,5
Draft Order,4,3,19
Draft Order,4,4,25
Draft Order,4,5,14
Draft Order,4,6,23
Draft Order,4,7,20
Draft Order,4,8,31
Draft Order,4,9,21
Draft Order,4,10,30
Draft Order,4,11,7
Draft Order,4,12,18
Draft Order,4,13,3
Draft Order,4,14,1
Draft Order,4,15,12
Draft Order,4,16,4
Draft Order,4,17,9
Draft Order,4,18,2
Draft Order,4,19,27
Draft Order,4,20,0
Draft Order,4,21,8
Draft Order,4,22,10
Draft Order,4,23,11
Draft Order,4,24,24
Draft Order,4,25,16
Draft Order,4,26,29
Draft Order,4,27,17
Draft Order,4,28,22
Draft Order,4,29,15
Draft Order,4,30,28
Draft Order,4,31,26
Draft Order,4,32,13
Draft Order,5,1,6
Draft Order,5,2,19
Draft Order,5,3,5
Draft Order,5,4,14
Draft Order,5,5,23
Draft Order,5,6,20
Draft Order,5,7,25
Draft Order,5,8,31
Draft Order,5,9,21
Draft Order,5,10,7
Draft Order,5,11,18
Draft Order,5,12,3
Draft Order,5,13,1
Draft Order,5,14,12
Draft Order,5,15,30
Draft Order,5,16,4
Draft Order,5,17,9
Draft Order,5,18,27
Draft Order,5,19,0
Draft Order,5,20,2
Draft Order,5,21,8
Draft Order,5,22,11
Draft Order,5,23,10
Draft Order,5,24,24
Draft Order,5,25,16
Draft Order,5,26,29
Draft Order,5,27,17
Draft Order,5,28,22
Draft Order,5,29,15
Draft Order,5,30,28
Draft Order,5,31,26
Draft Order,5,32,13
Draft Order,6,1,6
Draft Order,6,2,5
Draft Order,6,3,19
Draft Order,6,4,23
Draft Order,6,5,20
Draft Order,6,6,25
Draft Order,6,7,14
Draft Order,6,8,31
Draft Order,6,9,21
Draft Order,6,10,18
Draft Order,6,11,3
Draft Order,6,12,1
Draft Order,6,13,12
Draft Order,6,14,30
Draft Order,6,15,7
